soru_metni,sik_a,sik_b,sik_c,sik_d,sik_e,dogru_cevap,zorluk,konular,aciklama,ders_ad
"Terimler dışında her sözcüğün bir anlam evreni vardır. 30. Sanat ve edebiyat üzerine yazılmış ilk eser, Aristoteles’in Terimler, kullanımla yeni anlamlar kazanmayan ve Poetika’sıdır. Bu eserde edebiyat ve eleştiri biliminin algılanmaları kişiden kişiye değişmeyen nesnel temelleri atılmıştır. Eserin sanat ve edebiyat üzerine sözcüklerdir. Oysa kendine özgü bir evren kuran ortaya koyduğu tanım, tasnif ve ilkeler; olduğu gibi sözcükler, anlamsal ve duygusal açıdan sürekli yüzyıllarca benimsenmiş ve temel bilgiler olarak gelişime ve değişime açıktır. Yeni anlamlar yüklenmeye kabul edilmiştir. Eserde öne sürülen fikirler; günümüz yatkınlıkları vardır. Hatta bu sözcükler, kişiye özgü dünyasında bile araştırmacılar için hareket noktası duygusal ve çağrışımsal anlamlar da kazanabilir. oluşturmakta, tanımlanan kavramlar tartışılmaktadır. Örneğin aynı sözcük bazı insanlarda neşe ve iyimserlik, Bu eser, âdeta kendisinden sonraki edebiyat ve eleştiri bazılarında ise hüzün ve karamsarlık duyguları araştırmalarının programını hazırlamış gibidir. uyandırabilir. Kuşkusuz sözcüklerin bu izlenimsel Bu parçada söz edilen eserin özellikleri arasında anlamları, göreceli bir nitelik taşıdığından bu yönleri aşağıdakilerden hangisi gösterilemez? sözcük ve kavramları açıklayan kaynaklarda yer almaz. A)Etkileyiciliği B)Kalıcılığı C)Güncelliği Bu parçadan aşağıdakilerin hangisine ulaşılamaz? D)Öncülüğü E)Tutarlılığı","Bir dile ait sözcükler, o dilin konuşurları tarafından kullanıldıkça yeni anlamlar kazanır.","Bazı sözcüklerin çağrışımla uyandırdığı duygusal etki, kişiden kişiye değişiklik gösterir.",,,,,,TYT Türkçe,,Türkçe
"İnsanlar her adımını bir seçeneğe bağlar: başarı ya da hangisine değinilmemiştir? başarısızlık, zafer ya da bozgun. Bense bu seçeneklere",Başkalarının doğrularına göre yaşamaktan kaçınır.,Kalıplara girmeden olduğu gibi yaşamaya özen gösterir. C)Olumsuz sonuçlanabilecek girişimlerden uzak durmaya çalışır. D)Yaşamı koşullara göre şekillenen bir deneyim olarak görür.,,,İlerlemek için kaygı verici durumlardan kaçınmayı önceler. 9 Diğer sayfaya geçiniz.,,,TYT Türkçe,,Türkçe
"Günlükler, bir yaşama dair en mahrem ve saygın 33. 1980’lerde yapılan Türk filmlerinde eve ve ev içine kayıtlardır. Bir günlüğü ele geçirdiğinizde belki bir yönelik bir merak vardı. İnsanın mekânla ilişkisini yaşamın bir kısmını belki de tamamını elde etmiş yansıtmaktan olabildiğince uzak, doğallıktan yoksun ev olursunuz. Açılan her sayfa size yeni ve gerçekçi bir görüntülerini içeren yığınla film çekildi o zaman. Eşyanın hayat sunar. Hayat kesitlerindeki sahicilik ve içtenlikten bir dekor olarak kaldığı, kameranın uzun uzun içinde dolayı yazarla empati kurmanız tamamen olağandır. Bu dolaştığı, duvarlarına manidar tabloların asıldığı, yönüyle günlük, romanı andırsa da onun kurgusal yukarıdan çekilmiş merdiven sahnelerinin yer aldığı atmosferinden uzak olduğu için kendine has tarza sahip evler... Bunun üç nedeni vardı: Her şeyden önce mekân, edebî türdür. Türk sineması için yeni keşfedilen dolayısıyla da görüntü değeri yüksek bir malzemeydi. İkincisi; bu görüntüler Bu parçaya göre günlüklerle ilgili aşağıdakilerden dönemin mahremiyetini görünür kılma, iç dünyaları hangisi söylenemez? gözetleme ihtiyacına cevap veriyordu. Üçüncüsü ise",Gizemli yönleriyle insanların dikkatini çeken metinler yönetmenlerin belli bir estetik duygusu oluşturmak için arasında yer alır. gerekli olan sembolizmi mekân görüntüleriyle sağlama çabalarıydı.,"Hayatı samimi biçimde ve doğrudan yansıtmasıyla Bu parçada aşağıdakilerin hangisine öne çıkar. değinilmemiştir? C)Yazarın özel hayatından kesitleri özgün bir üslupla A) Türk sinema tarihinde mekân anlayışının nasıl aktarır. dönüştüğüne D)İçerdiği bilgiler sayesinde okurun yazarla etkileşim B) Filmlerdeki mekân tasvirlerinin, döneminin anlayışına kurmasını sağlar. cevap verdiğine",,,Filmlerdeki iç mekân tasarımlarının estetik kaygı ile olan ilişkisine 10 Diğer sayfaya geçiniz.,,,TYT Türkçe,,Türkçe
"Kelebek şeklindeki mimarisiyle şehrin sembol ziyaret cevaplayınız. mekânlarından Konya Tropikal Kelebek Bahçesi, Avrupa’nın en büyük tropikal kelebek bahçesidir. 7.600 metrekare büyüklüğündeki vadinin yaklaşık 1.600 Doğuşu içinköleliğin kaldırıldığı 1865 yılı gösterilse de metrekaresi kelebek uçuş alanıdır. Yaz kış 26 derece aslında blues müziğininne zaman ortaya çıktığıtam sıcaklık ve yüzde 80 nem koşullarının sağlandığı bahçe, olarak bilinmiyor. Afrika’dan Amerika topraklarına köle 150 türe ait 20.000’den fazla tropikal bitkiye ve 45 türde olarak getirilenler;tarlada çalışırken özlemini duydukları binlerce kelebeğe yaşam alanı sunuyor. Kelebeklerin özgürlüğü, yaşadıkları acıları, aşkıve gündelik sıkıntıları larvadan kelebek hâline gelişindeki tüm evrelerinin adım blues tarzında söyledikleri şarkılarla dile getirirdi. adım izlenebildiği bahçede Kelebek Müzesi, Böcek Şarkılarını söylerkensesin temiz tınısına pekönem Müzesi ve Doğa Eğitim Sınıfı gibi ziyaret alanları da vermez, serbest ritim kullanır, doğaçlama yaparlardı. bulunuyor. Ayrıca hafta sonlarına özel olarak boyama ve Zaman içerisinde bu esneklik birtakım standartlara el işi etkinlikleri gerçekleştiriliyor. Bunun yanı sıra bilim bürünerekgünümüzde de kullanılan on iki ölçülü blues insanları tarafından yapılan mantar, kuş ve böcek kalıbının oluşmasını sağladı. XX. yüzyıla gelindiğinde incelemelerini ziyaretçiler gözlemleyebiliyor. blues müziğinin değişmez enstrümanı bançonun yanına Bu parçaya göre Konya Tropikal Kelebek Bahçesi ile İrlandalı ve İskoç göçmenlerin etkisiyle mandolin ile gitar ilgili aşağıdakilerden hangisi söylenemez? da eklendi.1920’lerdeblues müziğindenetkilenencaz yükselişe geçti. Bu aşamadan sonra blues sadece Afrika","Bulunduğu şehrin öne çıkan yapıları arasında yer alır. göçmenlerinin dinlediği ve ürettiği bir müzik olmaktan çıkıp tüm dünyada tanındı. Ama bu şarkıların ezgisi,",Bünyesinde çeşitli bilimsel ve sosyal etkinlikler yapılır. sonuna kadar Afrika’nın dokusunu bünyesinde taşımaya devam etti. C)Dışarıdaki hava koşullarından etkilenmeyen bir ortama sahiptir. D)Kelebek mimarisiyle yurt dışındaki benzerlerinden ayrılır.,,,,,,TYT Türkçe,,Türkçe
Bu parçaya göre blues ile ilgili aşağıdakilerden hangisi söylenebilir?,Afrika kültüründen etkilenen bir müzik türü olarak dünyaya yayılmıştır.,Amerika’da yaşayan göçmenler için ortak bir müzik dili oluşturmuştur. C)Ritmindeki çeşitlilik sayesinde geniş kitlelere hitap etmiştir. D)Bireyselliğin ön plana çıktığı müzik türleri içinde kabul görmüştür.,,,"Farklı enstrümanların kullanımı, belirli bir kalıba girmesini zorlaştırmıştır. 11 Diğer sayfaya geçiniz.",,,TYT Türkçe,,Türkçe
Bu parçaya göre mühendislik uygulamasıyla ilgili cevaplayınız. aşağıdakilerden hangisi söylenebilir?,"Doğayı taklit ettiği tasarımlarıyla kabul görür. Araştırmacılar, bitkilerden esinlenerek çeşitli ürünler ortaya koyuyor. Bu esin kaynaklarından biri de etçil B) Teknolojik gelişmeleri çevresel koşullara uyarlamaya bir bitki olan “güneş gülü”dür. Bu bitkinin yaprakları, çalışır. uçlarında yapışkan bir madde olan tüylerle kaplıdır. Yaprakların üzerine konan böcekler, buradaki maddeye C)Doğa bilimlerinin temel yaklaşımlarını benimser. saplanıp kalır. Ardından bitki, yaprakları ile avının etrafını sarar. Bunun sırrı yaprakların yapısında gizlidir. D)Bireyde çevreyi koruma bilincigeliştirmeyi amaçlar. Üst kısmındaki hücreler yuvarlak, alt kısmındakiler ise ince ve uzun bir şekle sahiptir. Yapraklara dokunan E) Doğadan hareketle işleyişi öngörülebilir ürünler canlıların tetiklediği biyokimyasal sinyaller, hücrelerin tasarlar. iç basıncının değişmesine neden olur. Tıpkı şişirilen bir balonun hangi şekli alacağının yapısına bağlı olması gibi yapraklar da basınca göre şekil değiştirir. Alt kısmındaki hücreler, üsttekilere göre daha fazla şişer ve bu sayede avı sıkıca kavrar. Bitkinin bu hareketi, bilim insanlarının nesneleri kavrayabilen robot parmakları tasarlamalarına ilham kaynağı olmuştur. Doğadan esinlenilen bu mühendislik uygulamasında tasarımın nasıl çalışacağını önceden bilmek mümkün olduğundan ürün prototipinin test edilme süresi de büyük ölçüde kısalmakta ve teknolojik gelişme hız kazanmaktadır.",,,,,,,TYT Türkçe,,Türkçe
"Attila, 447 yılında Doğu Roma’nın barış şartlarına 3. Ferhat Paşa Antlaşması’ndan sonra Safevilerin, ham uymaması üzerine II. Balkan Seferi’ne çıkmış ve Doğu ipeği Anadolu üzerinden geçirmeden Avrupa’ya ihraç Roma ile Anatolios Antlaşması’nı imzalamıştır. Bu etmeleri, Osmanlı ekonomisine zarar vermiştir. Bunun antlaşmaya göre Doğu Roma, Hunlara savaş tazminatı üzerine Osmanlı Devleti karşı önlem olarak İran’ın ödeyecek ve önceden ödediği vergi üç katına ihtiyacı olan başta gümüş olmak üzere kıymetli çıkarılacak, Hun sınır şehri Niş’te pazar kurulacak ve madenlerin İran’a ihracatını engellemiştir. Ayrıca Doğu Roma’nın asker bulundurabileceği alanlar Safeviler, Osmanlıların dışta Habsburglarla kısıtlanacaktır. mücadelesini ve içte Celâli İsyanları ile uğraşmasını fırsat bilerek Şirvan, Azerbaycan ve Gürcistan’ı Buna göre Osmanlı’dan geri almıştır. Anadolu’da devlet otoritesini I. antlaşma sonrasında Roma’nın ikiye ayrıldığı, yeniden kuran Sadrazam Kuyucu Murat Paşa’nın, Safeviler üzerine yürümesiyle Şah Abbas; II. Hunların ekonomik açıdan kazanımlar elde ettiği, Osmanlılardan barış istemiş ve sonuçta iki devlet III.Doğu Roma üzerinde Hunların, üstünlüğünü arasında 1612 yılında Nasuh Paşa Antlaşması devam ettirdiği imzalanmıştır. ifadelerinden hangilerine ulaşılabilir? Buna göre aşağıdakilerden hangisi söylenemez? A)Yalnız I B)Yalnız II C)I ve II",,"Safevilerin, ticari olarak Osmanlıları zor duruma düşürmek istediği C)İçeride yaşanan sorunların da etkisiyle Osmanlıların toprak kaybı yaşadığı",,,,,,TYT Sosyal,,Sosyal Bilimler
"İzmir’in işgalinin ertesi günü Denizli Müftüsü Ahmet 6. Doğal sistemleri oluşturan dört temel ortamdan biri olan Hulusi Efendi “Her ne pahasına olursa olsun Yunanlara atmosferin, yeryüzündeki canlı ve cansız unsurlar karşı koymak gerekir. (…) Ben fetva veriyorum. Silah ve üzerinde çeşitli etkileri bulunmaktadır. cephane azlığı veya yokluğu hiçbir zaman kavgaya mani Buna göre olmayacaktır. Hiçbir müdafaa vasıtası olmayan bir Müslüman dahi yerden üç taş alarak düşmana atmaya I. Canlı yaşamı için gerekli olan gaz bileşenlerini mecburdur.” diyerek halkı mücadeleye çağırmıştır. sağlar. Buna göre aşağıdakilerden hangisi söylenebilir? II. Güneş enerjisinin doğrudan yeryüzüne ulaşmasını sağlar.",Yunan ordusunun İzmir’den çekilmesi için İtilaf III.Gök taşlarının yeryüzüne ulaşmasını büyük Devletleri ile iş birliği yapıldığı oranda engeller.,Mondros Mütarekesi sonrasında başlayan işgallere ifadelerinden hangileri bu etkilere örnek karşı ilk direnişin Denizli’de başladığı gösterilemez? C)İmkânsızlıklara rağmen işgal güçlerine karşı mücadele A)Yalnız I B)Yalnız II C)Yalnız III edilmesi gerektiği D)I ve II E)II ve III D)Damat Ferit Hükûmetinin işgallere karşı din adamlarını halkı örgütlemekle görevlendirdiği,,,İtilaf Devletlerinin işgallerin geçici olduğu yönündeki açıklamalarının halkı sakinleştirdiği,,,TYT Sosyal,,Sosyal Bilimler
"Peyam-ı Sabah gazetesi muhabirinin “Lozan Barış Konferansı’na İstanbul Hükûmetinden bir heyet gidecek mi?” şeklindeki sorusuna Refet Paşa, “Mudanya Mütarekesi yalnız TBMM Hükûmeti adına imza edildi. Binaenaleyh bu defa da konferansta Türk Devleti’ni yalnız bu devletin yegâne meşru hükûmeti olan TBMM Hükûmeti temsil edebilir.” cevabını vermiştir. Lozan Konferansı öncesinde TBMM’nin aldığı ve Refet Paşa’nın bu görüşüyle aynı doğrultuda olan karar aşağıdakilerden hangisidir?",I B) II C)III D)IV E) V 15 Diğer sayfaya geçiniz.,Saltanat sistemine son verilmesi C)Kabine sistemine geçilmesi D)Milletvekili seçimlerine gidilmesi,,,Takrir-i Sükûn Kanunu’nun çıkarılması Dağılışı gösterilen bu bitkiler haritada numaralandırılan alanların hangisinde görülür?,,,TYT Sosyal,,Sosyal Bilimler
"Aşağıda iki farklı ülkeye ait nüfus piramidi verilmiştir. 9. Sahip olduğu doğal ve beşerî özellikler dikkate alınarak Dünya üzerinde şekilsel bölgeler oluşturulabilir. Bunlardan bazıları aynı zamanda birden çok şekilsel bölge içerisinde yer alabilir. Bu ülkelerle ilgili I. L ülkesindeki çalışma çağı nüfus oranı, K ülkesinden yüksektir. Buna göre haritada kırmızı renkle gösterilen alanın II. K ülkesinde ortalama ömür, L ülkesinden daha aşağıdaki bölge türlerinden hangisi içerisinde düşüktür. yer aldığı söylenemez? III.L ülkesinde ortanca yaş, K ülkesinden daha","Çöl bölgesi düşüktür. IV.K ülkesinde okuryazar nüfus oranı, L ülkesinden",İslam kültür bölgesi yüksektir. ifadelerinden hangileri söylenebilir? C)Seyrek nüfuslu bölge A)I ve II B)I ve III C)II ve III D)Karstik yer şekilleri bölgesi D)II ve IV E)III ve IV,,,Az gelişmiş bölge,,,TYT Sosyal,,Sosyal Bilimler
"Hegel, Hukuk Felsefesinin Prensipleri adlı eserinde 13. XX. yüzyıl düşünürlerinden Martha Nussbaum, “Var olanı kavramak felsefenin görevidir çünkü var olan tragedyaları yaşamlarımıza yol gösteren bir kaynak akıldır. Bireye gelince herkes kendi zamanının olarak gördüğü İyiliğin Kırılganlığı adlı çalışmasında tüm çocuğudur, felsefe de aynı şekilde kendi zamanını etik sorgulamalara zemin oluşturabilecek şu soruya düşüncede özetler.” der. Felsefenin kendi zamanını yanıt arar: Dünyada başımıza gelebilecek kötü düşüncede özetlemesi ise ancak olaylar yaşandıktan rastlantılar iyi bir insan olmamız üzerinde ne derece sonra gerçekleşir. Bu yönüyle felsefe, dünyanın nasıl bir etkilidir? Ona göre tragedyalar insanın her an her şeyle yer olması gerektiğine dair bilgi vermek üzere sahneye karşılaşabilme ihtimalini gözler önüne serer ve iyiliğin hep geç gelir. Hegel’in, Romalı bilgelik tanrıçasına atfen kesin olmayana razı olmayı içeren bir kırılganlık söylediği gibi “Minerva’nın baykuşu ancak gün batarken taşıdığını gösterir. Tıpkı tragedyalarda olduğu gibi uçmaya başlar.”. Minerva’nın baykuşu bilginin yaşamda da nazik bir davranışımız kabalıkla, yaptığımız taşıyıcısıdır ve tarih somut bir şekilde kendini bir yardım nankörlükle karşılık bulabilir. Kısacası iyi bir gerçekleştirdiğinde kanatlarını açar ve uçmaya başlar. insan olmak, gerçekleştirilen her eylemde incinmeyi göze almakla mümkündür. Bu parçadan felsefeyle ilgili aşağıdakilerin hangisine ulaşılabilir? Bu parçadan aşağıdakilerin hangisine ulaşılabilir?",Mevcut zamanın ötesine geçip tüm çağlara hitap eder. A) Bir davranışı ahlaken iyi yapan şey içerdiği niyettir.,"Bir dönemin olaylarını olup bittikten sonra düşüncede B) İyinin değeri, eylemin gerçekleştirilme şekliyle kavrar. belirlenir. C)Ele aldığı konularla olayların akışını değiştirebilir. C)İyi yaşam, risklerden akıllıca uzaklaşabilmeyi gerektirir. D)Dünyayı yorumlamayı değil basitçe algılamayı hedefler. D)İyi davranış, belirsizlikte bile yönünü değiştirmeyendir.",,,İnsana dair her türlü mesele üzerine fikir yürütebilir. E) Dünyanın ve yaşamın rastgeleliği iyiliğin önünde engeldir.,,,TYT Sosyal,,Sosyal Bilimler
"Engin: Sence bir şeyi düşünmek onu var eder mi? 15. Locke’a göre nesnelerin birincil ve ikincil nitelikleri vardır. Birincil nitelikler büyüklük, yer kaplama gibi Derya: Ejderhayı düşünmek onu var etmediğine göre nesnenin kendisinde olan ve algısal olarak tabii ki hayır. bilebileceğimiz niteliklerdir. İkincil nitelikler ise Engin:Peki, istediğim her şeyi düşünebileceğime göre nesnelerin birincil nitelikleri nedeniyle zihnimizde oluşan en mükemmel varlığı da düşünebilirim değil mi? renk, koku, tat gibi niteliklerdir. Örneğin bir gülün şekli birincil niteliğidir ve zihnimizden bağımsız olarak o gülün Derya:Nereye gelmek istediğini anlıyorum fakat bu onu kendisinde vardır. Fakat gülün kırmızı rengi ve kokusu var etmez. için aynı şey söylenemez. Çünkü ikincil nitelikler varlıklarını “nesnel” olan birincil niteliklere borçlu olsalar Engin: Tamam, haklı olabilirsin ama bir şeyin da kendileri aslında o nesnelerin içinde değillerdir, düşünülmüş hâli mi, var olan hâli mi daha üstündür? algılayan kişiye göre değişirler. İşte insanlar da gerçekte Derya: Elbette var olan hâli. maddi varlıkların tözsel yapısı ile değil birincil ve ikincil nitelikleri ile epistemolojik ilişki kurar. Engin:O hâlde bir şeye en mükemmel diyebilmemiz için onun var olması gerekmez mi? Ayrıca bir şeye Tanrı Bu parçada Locke’ın hangi görüşü diyebilmemiz için de onun en mükemmel şey olması vurgulanmaktadır? gerekmez mi?",Duyular aracılığıyla kanıtlanabilir. C)Maddi olmayan varlıkların gerçek özlerini bilmemiz,"Sezgilerden hareketle kanıtlanabilir. mümkündür. C)Evrenin düzeninden hareketle kanıtlanabilir. D)Renk, koku gibi nitelikler varlığın asıl nitelikleridir. D)Her şeyin ilk nedeni Tanrı olduğu için kanıtlanabilir. E) Duyumlarımıza kaynaklık eden nesnel bir dış dünya yoktur.",,,Tanrı kavramının tanımıyla kanıtlanabilir. 18 Diğer sayfaya geçiniz.,,,TYT Sosyal,,Sosyal Bilimler
"Hz. Muhammed, tebliğe başladığında kendisine daha dersini yasal olarak almak zorunda olmayan veya çok gençler iman etmiştir. Anne babası müşrik olan bu farklı müfredat ile alanlar cevaplayacaktır. gençlerin çoğuna aileleri karşı çıkmış ve onları Müslümanlıktan vazgeçirmeye çalışmışlardır. Anne babalarıyla ilişkilerini bozmak istemeyen bu gençler 21. Anlam bilimi yani semantik, adı üstünde, sözlerin anlamı aileleri ile dinleri arasında kalmışlardır. Hz. Muhammed ile uğraşır. Belli bir dildeki sözcüklerin ne anlama onlara anne babaya saygıyı elden bırakmamalarını geldiği, tarih boyunca geçirdikleri değişimler, anlam ancak her durumda Allah’ı öncelemeleri gerektiğini kaymaları ve anlam akrabalıkları bir anlam bilimcinin bildirmiştir. araştırma alanına girer. Filozof ise sözcüklerin anlamına yönelik yönelttiği soruyu bir anlam bilimci gibi sormaz. Bu parçada bahsedilen hususu en kapsamlı şekilde Bir sözcüğü bir tarih malzemesi olarak ele almaz. ifade eden ayet aşağıdakilerden hangisidir? Araştırmalarını bir dil çerçevesinde yürüttüğü","“Eğer (anne ve baban), hakkında hiçbir bilgi sahibi söylenebilir ancak asıl araştırdığı bu dilin kendisi olmadığın bir şeyi bana ortak koşman için seninle değildir. Filozofun kaygısı dilin dil olarak ele alınması uğraşırlarsa, onlara itaat etme. Fakat dünyada onlarla değil dil ile ifade edilen şeyin kendisidir. Bu bakımdan iyi geçin...” (Lokman, 31:15) felsefe, varlığa yönelmiş dilin işaret ettiği şeyler ve onlara erişim sorunuyla ilgilenir.","“Allah, sizi ancak, sizinle din konusunda savaşan, sizi Buna göre aşağıdakilerden hangisi bir felsefe yurtlarınızdan çıkaran ve çıkarılmanız için destek sorusunun konusu değildir? verenleri dost edinmekten men eder.” (Mümtehine, 60:9) A) Anlamları bakımından felsefi sorgulamanın nesnesi olan kavramlar C)“... Eğer onlardan biri, ya da her ikisi senin yanında ihtiyarlık çağına ulaşırsa, sakın onlara “öf!” bile deme; B) Varoluşlarına bağlı olarak dilde temsil edildikleri onları azarlama; onlara tatlı ve güzel söz söyle.” biçimleriyle şeyler (İsra, 17:23) C)Gerçekliği düşünebilme ve ona erişimde dilin önemi D)“De ki: Gelin, Rabbinizin size haram kıldığı şeyleri okuyayım: O’na hiçbir şeyi ortak koşmayın. Anaya D)Dilde ifadesini bulan ancak onu aşan gerçeklikler babaya iyi davranın...” (Enam, 6:151)",,,"“Onlara (anne ve babana) merhamet ederek tevazu duygulanımları kanadını indir ve de ki: “Rabbim! Tıpkı beni küçükken koruyup yetiştirdikleri gibi sen de onlara acı.” (İsra, 17:24)",,,TYT Sosyal,,Sosyal Bilimler
"3. Selma, sarı ve mavi renklerden oluşan özdeş rasyonel sayıları kullanılarak mandallarla tasarladığı bir oyuncağın 1. adımında yere aynı grupta bulunan sayıların toplamı 1'e eşit olacak bir mandal koyuyor. Sonraki her adımda bir önceki adımda koyduğu tüm mandalların mavi kısımlarına şekilde, ikişer elemanlı iki grup oluşturuluyor. şekildeki gibi birer mandal takıp bir sonraki adıma Buna göre bu sayılardan hangisi oluşturulan geçiyor. Selma, bu oyuncağın ilk 3 adımını 7 mandal gruplarda yer almaz? kullanarak aşağıdaki gibi tamamlıyor.",28 B) 26 C)24 D)22 E) 20 22 Diğer sayfaya geçiniz.,,,,,,,TYT Matematik,,Matematik
satırında bulunan sayıların toplamına eşittir. Buna göre toplamı kaçtır?,99 B) 110 C)121 D)132 E) 143 26 Diğer sayfaya geçiniz.,,,,,,,TYT Matematik,,Matematik
"Elif’in, matematik kitabında okuduğu bir not aşağıdaki 6. Ali, Burcu ve Can; yayımlanacak olan okul dergisinin gibidir: sayfa sayısını sırasıyla 27, 35 ve 39 olarak tahmin etmiştir. Her bir tahmin değeri ile derginin sayfa sayısı arasındaki farkın mutlak değeri birbirinden farklı olmak üzere derginin sayfa sayısına en yakın tahminde bulunan kişi Burcu, en uzak tahminde bulunan kişi ise Can’dır. Buna göre derginin sayfa sayısının rakamları toplamı kaçtır?",B) C) D) E),,,,,,,TYT Matematik,,Matematik
Aşağıdakilerden hangisi rasyonel sayı olmayan kasadaki elmalar B sınıfına dağıtıldığında ise bu kasada bir gerçel sayıdır? yeterli sayıda elma olmadığından 2 öğrenciye elma verilememiştir.,"B) –1 C) D) E) Buna göre I. Her bir kasada tek sayıda elma bulunmaktadır. II. Bu iki sınıftaki öğrenci sayılarının farkı bir tek sayıdır. III.Bu iki sınıftaki öğrenci sayılarının çarpımı bir çift sayıdır. ifadelerinden hangileri kesinlikle doğrudur? A)Yalnız I B)Yalnız III C)I ve II D)II ve III E)I, II ve III 23 Diğer sayfaya geçiniz.",,,,,,,TYT Matematik,,Matematik
"Bir mağazada satılan bir bulaşık makinesi, bir çamaşır 9. türünden bazı değerleri verilen, eşit bölmelere makinesi ve bir buzdolabının maliyet fiyatları sırasıyla ayrılmış aşağıdaki termometrelerden hangisi 18 bin, 22 bin ve b TL'dir. Bu ürünler, üçlü beyaz eşya sıcaklığı göstermektedir? takımı olarak birlikte satılmaktadır. Bu takım; bir buzdolabının maliyet fiyatının iki katının 30 bin TL","B) C) fazlasına satıldığında mağaza kâr etmekte, bir buzdolabının maliyet fiyatının üç katından 20 bin TL eksiğine satıldığında ise mağaza zarar etmektedir. Buna göre bir buzdolabının maliyet fiyatının alabileceği tüm değerleri ifade eden eşitsizlik aşağıdakilerden hangisidir?",,,E) E) 24 Diğer sayfaya geçiniz.,,,,TYT Matematik,,Matematik
"A ve B iki küme olmak üzere 11. Ayşe, uçakla yapacağı bir yolculuk için aşağıdakilerden olduğu ve kendine uygun olanları seçerek biletleme işlemini tamamlamıştır.  kümesinin elemanlarından ikisinin toplamının 8 olduğu,  kümesinin elemanlarından ikisinin farkının 8 olduğu,  kümesinin elemanlarından ikisinin çarpımının 8 olduğu biliniyor. A kümesindeki elemanların toplamı B kümesindeki elemanların toplamına eşit olduğuna göre kümesindeki elemanların toplamı kaçtır?",B) C),,,E) 25 Diğer sayfaya geçiniz.,,,,TYT Matematik,,Matematik
"Dik koordinat düzleminde f, g ve h fonksiyonlarının 14. A, B ve C birbirinden farklı rakamlar olmak üzere grafikleri şekilde verilmiştir. A rakamı B rakamının, B rakamı ise C rakamının birer tam sayı katıdır. ABC üç basamaklı doğal sayısı 3 ile tam bölünebildiğine göre bu sayının rakamları çarpımı kaçtır?",21 B) 22 C)23 D)24 E) 25,,D) Örneğin 552 ve 255 birer bitişik sayıdır. E) AB1 ve BC4 sayıları birer bitişik sayı olduğuna göre toplamı kaçtır?,,,,,TYT Matematik,,Matematik
"Bir veri grubundaki sayılar küçükten büyüğe doğru 18. Düz bir zemin üzerinde bulunan iki merdivenden; 4 eş sıralandığında veri sayısı tek ise ortadaki sayıya, veri basamaktan oluşan Şekil 1’deki merdivenin üçüncü sayısı çift ise ortadaki iki sayının aritmetik ortalamasına basamağında ve 5 eş basamaktan oluşan Şekil 2’deki o veri grubunun medyanı (ortanc","30 B) 36 C)42 D)48 E) 54 Bu merdivenlerin her bir basamağının üst yüzleri zemine paralel, yan yüzleri ise zemine diktir. Bu iki merdivenin en üstteki basamaklarının yerden yükseklikleri toplamı 124 cm olduğuna göre kedilerden birinin yerden yüksekliği kaç cm'dir?",,,,,,,TYT Matematik,,Matematik
"Can’ın telefonunun arama kayıtları bölümünde, telefon 20. A ve B şirketleri, kuruluşlarından itibaren aynı sektörde görüşmesi yaptığı kişiler ve o kişilerle yaptığı telefon kesintisiz olarak faaliyet göstermektedir. 2021 yılında bu görüşmesi sayıları parantez içinde gösterilmektedir. iki şirketin sektörde geçirdikleri süreler hesaplanmıştır. Can’ın dün ve bugün yaptığı telefon görüşmeleri Bu hesaba göre A şirketinin sektörde geçirdiği süre, sırasıyla Şekil 1 ve Şekil 2'de verilmiştir. B şirketinin sektörde geçirdiği sürenin 5 katıdır. Aynı hesap 2024 yılında yapıldığında; A şirketinin sektörde geçirdiği süre, B şirketinin sektörde geçirdiği sürenin 4 katı olarak hesaplanmıştır. Buna göre A şirketi hangi yıl kurulmuştur?",13 B) 14 C)15 D)16 E) 17 28 Diğer sayfaya geçiniz.,,,,,,,TYT Matematik,,Matematik
"Vücut kitle indeksi (VKİ), bir kişinin vücudundaki tahmini 23. Bir kentte bulunan fabrikaların her biri gıda, mobilya, yağ oranını gösteren bir hesaplama yöntemidir. Bu plastik ve tekstil alanlarından yalnızca birinde üretim yöntemde öncelikle kişinin kilogram türünden ağırlığı ve yapmaktadır. Bu fabrikaların üretim alanlarına göre metre türünden boy uzunluğu ölçülür. Daha sonra sayıca dağılımı Şekil 1’deki daire grafiğinde kişinin ağırlığının boyunun karesine bölünmesiyle gösterilmiştir. o kişiye ait VKİ hesaplanır. Aşağıdaki tabloda, belirli yaş aralıklarına göre ideal VKİ aralıkları verilmiştir. 30 yaşındaki İlayda’nın yaşına uygun en küçük ideal VKİ Bu fabrikaların toplam 54 tanesi ihracat yapmaktadır. değerindeki ağırlığı ile en büyük ideal VKİ değerindeki Her bir üretim alanı için o alanda üretim yapan ağırlığı arasındaki fark 12,8 kilogram olarak fabrikalardan ihracat yapanların sayısının, o alanda hesaplanmıştır. üretim yapan toplam fabrika sayısına oranı yüzde olarak Şekil 2’deki sütun grafiğinde gösterilmiştir. Buna göre İlayda’nın boyu kaç metredir?",96 B) 120 C)144 D)154 E) 180 29 Diğer sayfaya geçiniz.,,,,,,,TYT Matematik,,Matematik
