soru_metni,sik_a,sik_b,sik_c,sik_d,sik_e,dogru_cevap,zorluk,konular,ders_ad,aciklama,image_url,cozum_videosu_url
Yaklaşık yedi milyon nüfusa sahip Hong Kong’da 21. Sherlock Homeless ile Nasıl Tanıştım? kelime,Akıllı telefon teknolojisi aracılığıyla yayalara güvenli bir trafik ortamı sunmak A) Bir dilsel unsur olarak söz oyunlarının öykülerindeki kullanımına,"Yayaların, karşıdan karşıya geçerken akıllı telefonlarına bakmalarının önüne geçmek B) Öykü kitabına okurun ilgisini çekecek biçimde bir başlık koyduğuna C)Yayaların, akıllı telefonlarını kullanırken trafik kurallarını takip etmelerini sağlamak C)Kendine özgü anlatımını kitabındaki tek bir öyküyle sınırlamadığına D)Yayaların karıştığı kazaların nedenlerini bulmak için akıllı telefonlardan yararlanmak D)Okurunu sözcüklere hatta harflere dikkatle odaklanmaya davet ettiğine",,,Akıllı telefon kullanımının kazaya neden olduğuna dair yayaları bilinçlendirmek E) Öykülerinde yerel kültürü yansıtan sözel anlatı kalıpları kullandığına,,,TYT Matematik,Matematik,,,
Modern fiziğe göre atom altı düzeyde madde; belirli,Fakat atomik olayların oluşması atom altı parçacıkların değerli kabul edilir. yüklendiği özel işlevlere göre gerçekleşir,"Oysa atom altı parçacıkların işleyişi bağlamında oranda başarılıdır. çağdaş fizik bize evrenin bir bütün olduğunu anlatır C)Resim sanatı, diğer sanatlardan gerçekçiliği ele alışı bakımından ayrılır. C)Ancak gözlemlenebilir ve ölçülebilir nitelikteki süreçlerle olan ilişkileri içinde bir anlam kazanır D)Sanatçının özgünlüğü, temel aldığı konuyu işleyiş biçimiyle değerlendirilir. D)Kaldı ki zaman ve mekândan bağımsız olamayan atom altı düzey, maddenin varlığına bağımlıdır",,,"Ne var ki atom altı parçacıklar, somutlaştırmalar yoluyla incelendiğinde maddenin varlığı kanıtlanır 6 Diğer sayfaya geçiniz. 2024-TYT/TÜR",,,TYT Matematik,Matematik,,,
Biz fark etsek de etmesek de yapay zekâ artık 25. Yazarın en büyük başarılarından biri eserlerinde,Bazı sektörlerde insana bağımlılığı azaltacağına okura aktarır. ele alır. C)Çocukların gelişimi üzerinde olumsuz etkilerinin olduğuna D)Kişilerin bilinmeyen yönlerini ortaya çıkararak eseri başarıya ulaştırır. D)Eğitimde kullanımının öğrenci başarısına katkı sağladığına E) Karakterleri arka planda tutarak okurun olaya odaklanmasını hedefler.,Eğitim alanında daha fazla gelişim gösterdiğine C)İç çatışmalara yer vererek karakterleri tüm boyutlarıyla,,,Eğitimde alışılagelmiş anlayışlarda değişikliğe yol açtığına,,,TYT Matematik,Matematik,,,
Gerilimi psikolojik ögelerle kuran yönetmenin,Seyircinin karakterlerle özdeşim kurmasını amaçlar.,Karakterleri psikolojik çözümlemelerle birlikte sunar. C)Gerilim unsurlarını çeşitlendirerek seyirci kitlesini artırır. D)Kurgusunu karakterlerin yaşadığı çatışmalardan alır.,,,Konusunun karmaşıklığı ile seyircide heyecanı canlı tutar. 7 Diğer sayfaya geçiniz. 2024-TYT/TÜR,,,TYT Matematik,Matematik,,,
İzmir dokuma imalatı; XVI ve XVII. yüzyıllarda pamuk 27. Özgünlük genellikle insanın kendisi olmasını içeren bir,"Geleneksel üretim metotları şehirdeki ticaret hacmini C)Doğru olduğuna inandığı şeyi kendi isteğiyle yapan sınırlandırmıştır. birey başarılı olabilir. geçiş sağlanmıştır. vermesi onu tutarsızlaştırır. C)Dokuma kumaşlarının üretimi şehrin belli bir E) İnsanın özgün olma uğruna yaptıkları, onu değişime bölgesinde yoğunlaşmıştır. kapalı bir hâle getirebilir. D)Farklı kumaş türlerinin üretimi sırasında birden fazla teknik kullanılmıştır.",Şehir nüfusunun artmasıyla birlikte fabrikasyon üretime D)İnsanın istekleri doğrultusunda kişiliğinden ödün,,,Oluşturduğu modelle farklı sektörlerin gelişmesine ilham kaynağı olmuştur. 8 Diğer sayfaya geçiniz. 2024-TYT/TÜR,,,TYT Matematik,Matematik,,,
"Terimler dışında her sözcüğün bir anlam evreni vardır. 30. Sanat ve edebiyat üzerine yazılmış ilk eser, Aristoteles’in","Bir dile ait sözcükler, o dilin konuşurları tarafından kullanıldıkça yeni anlamlar kazanır.","Bazı sözcüklerin çağrışımla uyandırdığı duygusal etki, kişiden kişiye değişiklik gösterir.",,,,,,TYT Matematik,Matematik,,,
"Dondurma, XIX. yüzyıldan bu yana keyifle tükettiğimiz",,,,,"Sözcüklere yüklenen bazı kişisel anlamların, muhallebicilerde ve pastanelerde satılmaya başlar. sözlüklerde bulunması mümkün değildir. Sonraları ise sanayileşmenin etkisiyle dondurma yapımında elektrikli aletler kullanılır. Böylelikle dondurma, türlü değişimlere ayak uydurarak Türk mutfağındaki değerini korur. Bu parçada dondurmayla ilgili aşağıdakilerin",,,TYT Matematik,Matematik,,,
İnsanlar her adımını bir seçeneğe bağlar: başarı ya da,Başkalarının doğrularına göre yaşamaktan kaçınır.,Kalıplara girmeden olduğu gibi yaşamaya özen,,,İlerlemek için kaygı verici durumlardan kaçınmayı önceler. 9 Diğer sayfaya geçiniz. 2024-TYT/TÜR,,,TYT Matematik,Matematik,,,
"Günlükler, bir yaşama dair en mahrem ve saygın 33. 1980’lerde yapılan Türk filmlerinde eve ve ev içine",Gizemli yönleriyle insanların dikkatini çeken metinler yönetmenlerin belli bir estetik duygusu oluşturmak için arasında yer alır. gerekli olan sembolizmi mekân görüntüleriyle sağlama çabalarıydı.,"Hayatı samimi biçimde ve doğrudan yansıtmasıyla Bu parçada aşağıdakilerin hangisine öne çıkar. değinilmemiştir? C)Yazarın özel hayatından kesitleri özgün bir üslupla A) Türk sinema tarihinde mekân anlayışının nasıl aktarır. dönüştüğüne D)İçerdiği bilgiler sayesinde okurun yazarla etkileşim B) Filmlerdeki mekân tasvirlerinin, döneminin anlayışına kurmasını sağlar. cevap verdiğine",,,Filmlerdeki iç mekân tasarımlarının estetik kaygı ile olan ilişkisine 10 Diğer sayfaya geçiniz. 2024-TYT/TÜR 35 - 36. soruları aşağıdaki parçaya göre,,,TYT Matematik,Matematik,,,
Kelebek şeklindeki mimarisiyle şehrin sembol ziyaret,"Bulunduğu şehrin öne çıkan yapıları arasında yer alır. göçmenlerinin dinlediği ve ürettiği bir müzik olmaktan çıkıp tüm dünyada tanındı. Ama bu şarkıların ezgisi,",Bünyesinde çeşitli bilimsel ve sosyal etkinlikler yapılır. sonuna kadar Afrika’nın dokusunu bünyesinde taşımaya devam etti. C)Dışarıdaki hava koşullarından etkilenmeyen bir ortama sahiptir. D)Kelebek mimarisiyle yurt dışındaki benzerlerinden ayrılır.,,,,,,TYT Matematik,Matematik,,,
Bu parçada blues ile ilgili aşağıdakilerin hangisine,Tarih içerisinde gösterdiği gelişime,Ortaya çıkış zamanının belirsizliğine C)Temsil ettiği duyguların çeşitliliğine D)İcra edilmesinde kullanılan aletlere,,,Bestelerinin ilham verdiği milletlere,,,TYT Matematik,Matematik,,,
Bu parçaya göre blues ile ilgili aşağıdakilerden,Afrika kültüründen etkilenen bir müzik türü olarak dünyaya yayılmıştır.,Amerika’da yaşayan göçmenler için ortak bir müzik dili oluşturmuştur. C)Ritmindeki çeşitlilik sayesinde geniş kitlelere hitap etmiştir. D)Bireyselliğin ön plana çıktığı müzik türleri içinde kabul görmüştür.,,,"Farklı enstrümanların kullanımı, belirli bir kalıba girmesini zorlaştırmıştır. 11 Diğer sayfaya geçiniz. 2024-TYT/TÜR 37 - 38. soruları aşağıdaki parçaya göre",,,TYT Matematik,Matematik,,,
Bu parçaya göre mühendislik uygulamasıyla ilgili,"Doğayı taklit ettiği tasarımlarıyla kabul görür. Araştırmacılar, bitkilerden esinlenerek çeşitli ürünler ortaya koyuyor. Bu esin kaynaklarından biri de etçil B) Teknolojik gelişmeleri çevresel koşullara uyarlamaya bir bitki olan “güneş gülü”dür. Bu bitkinin yaprakları, çalışır. uçlarında yapışkan bir madde olan tüylerle kaplıdır. Yaprakların üzerine konan böcekler, buradaki maddeye C)Doğa bilimlerinin temel yaklaşımlarını benimser. saplanıp kalır. Ardından bitki, yaprakları ile avının etrafını sarar. Bunun sırrı yaprakların yapısında gizlidir. D)Bireyde çevreyi koruma bilincigeliştirmeyi amaçlar. Üst kısmındaki hücreler yuvarlak, alt kısmındakiler ise ince ve uzun bir şekle sahiptir. Yapraklara dokunan E) Doğadan hareketle işleyişi öngörülebilir ürünler canlıların tetiklediği biyokimyasal sinyaller, hücrelerin tasarlar. iç basıncının değişmesine neden olur. Tıpkı şişirilen bir balonun hangi şekli alacağının yapısına bağlı olması gibi yapraklar da basınca göre şekil değiştirir. Alt kısmındaki hücreler, üsttekilere göre daha fazla şişer ve bu sayede avı sıkıca kavrar. Bitkinin bu hareketi, bilim insanlarının nesneleri kavrayabilen robot parmakları tasarlamalarına ilham kaynağı olmuştur. Doğadan esinlenilen bu mühendislik uygulamasında tasarımın nasıl çalışacağını önceden bilmek mümkün olduğundan ürün prototipinin test edilme süresi de büyük ölçüde kısalmakta ve teknolojik gelişme hız kazanmaktadır.",,,,,,,TYT Matematik,Matematik,,,
Bu parçaya göre güneş gülü hakkında aşağıdakilerin,Kimyasal etkileşime ve uyarana yönelik tepkileri dış müdahaleyle açığa çıkar.,Hücreleri arasındaki yapısal farklar ona hareket kabiliyeti kazandırır. C)Duyarlı tüyleri hareketi algılayarak şekil değiştirmesine olanak tanır. D)Yapraklarına uygulanan dışsal kuvvet kimyasal yapısını kalıcı olarak değiştirir.,,,"Salgıladığı bir madde temas sonrasında avının hareketsiz kalmasını sağlar. 12 Diğer sayfaya geçiniz. 2024-TYT/TÜR 39 - 40. soruları aşağıdaki parçaya göre cevaplayınız. Gustave Flaubert, eserlerinde oluşturduğukarakterler aracılığıyla bir okurun nasıl olmaması gerektiğini eleştirel bir dilleokura anlatmanın peşindedir. Daha on altı yaşındayken yazdığı Bibliyo-manyak’ta okumayı zar zor sökmüş, sadece başlıklarına bakarak kitap toplayan takıntılı bir sahafı mizahi bir bakış açısıyla betimler. Madam Bovary’de kitapları yutar gibi okuyan, kadın karakterler ile kendisini özdeşleştiren Emma ve onun kitaplardan ezberlediği alıntıları dinlerken hiçbir tepki vermeyen eşini konu eder. Son kitabı Bilirbilmezler’de ise bir ayrım yapmadanher şeyi okuyup dünya bilgisini edineceklerine inanan iki basılı sayfa gezginini resmeder. Ona göre evlerinden dışarı çıkmayan bu iki tip, hiçbir zaman gerçek hayatın nasıl olduğunu bilemeyecektir. Ayrıca bir dostuna yazdığı mektupta Flaubert, okurun hayat çırağı olması gerektiğini söyler ve “Yaşamak için oku!” diyerek ona öğütte bulunur.",,,TYT Matematik,Matematik,,,
Bu parçada altı çizili sözle eleştirilen okur tipi,Gerçek ile kurguyu ayıramayan,Hayatı kitaplarla sınırlandıran C)Gösteriş için kitap okuyan D)Kitapları okumayıp istifleyen,,,Kitaplarda kendinden iz arayan,,,TYT Matematik,Matematik,,,
Bu parçadan Gustave Flaubert ile ilgili aşağıdakilerin,Okurluk konusunu karakterleri üzerinden düşündürmeye çalışmıştır.,Genç yaşında iyi bir yazar olarak edebiyat dünyasında ün kazanmıştır. C)Kitaplarında çeşitli okur tipleri oluşturarak bunları karşılaştırmıştır. D)Okurun öyküneceği karakterler oluşturmak için çaba sarf etmiştir.,,,İlgi ve ihtiyaçlar doğrultusunda okumanın gerekliliğine vurgu yapmıştır. TÜRKÇE TESTİ BİTTİ. 13 SOSYAL BİLİMLER TESTİNE GEÇİNİZ. 2024-TYT/SOS SOSYAL BİLİMLER TESTİ,,,TYT Matematik,Matematik,,,
"Attila, 447 yılında Doğu Roma’nın barış şartlarına 3. Ferhat Paşa Antlaşması’ndan sonra Safevilerin, ham",,"Safevilerin, ticari olarak Osmanlıları zor duruma düşürmek istediği C)İçeride yaşanan sorunların da etkisiyle Osmanlıların toprak kaybı yaşadığı",,,,,,TYT Matematik,Matematik,,,
I. Alâeddin Keykubad’ın Moğollara karşı birlikte,,,,,"Safevilerin, Osmanlı Devleti’ne karşı Habsburglarla edilen devlet aşağıdakilerden hangisidir? ittifak yaptığı A)Karakoyunlular B)Gazneliler C)Bizans D)Akkoyunlular E)Harzemşahlar 14 Diğer sayfaya geçiniz. 2024-TYT/SOS",,,TYT Matematik,Matematik,,,
İzmir’in işgalinin ertesi günü Denizli Müftüsü Ahmet 6. Doğal sistemleri oluşturan dört temel ortamdan biri olan,Yunan ordusunun İzmir’den çekilmesi için İtilaf III.Gök taşlarının yeryüzüne ulaşmasını büyük Devletleri ile iş birliği yapıldığı oranda engeller.,Mondros Mütarekesi sonrasında başlayan işgallere ifadelerinden hangileri bu etkilere örnek karşı ilk direnişin Denizli’de başladığı gösterilemez? C)İmkânsızlıklara rağmen işgal güçlerine karşı mücadele A)Yalnız I B)Yalnız II C)Yalnız III edilmesi gerektiği D)I ve II E)II ve III D)Damat Ferit Hükûmetinin işgallere karşı din adamlarını halkı örgütlemekle görevlendirdiği,,,İtilaf Devletlerinin işgallerin geçici olduğu yönündeki açıklamalarının halkı sakinleştirdiği,,,TYT Matematik,Matematik,,,
Peyam-ı Sabah gazetesi muhabirinin “Lozan Barış,I B) II C)III D)IV E) V,Saltanat sistemine son verilmesi C)Kabine sistemine geçilmesi D)Milletvekili seçimlerine gidilmesi,,,Takrir-i Sükûn Kanunu’nun çıkarılması Dağılışı gösterilen bu bitkiler haritada numaralandırılan alanların hangisinde görülür? 15 Diğer sayfaya geçiniz. 2024-TYT/SOS,,,TYT Matematik,Matematik,,,
Aşağıda iki farklı ülkeye ait nüfus piramidi verilmiştir. 9. Sahip olduğu doğal ve beşerî özellikler dikkate alınarak,"Çöl bölgesi düşüktür. IV.K ülkesinde okuryazar nüfus oranı, L ülkesinden",İslam kültür bölgesi yüksektir. ifadelerinden hangileri söylenebilir? C)Seyrek nüfuslu bölge A)I ve II B)I ve III C)II ve III D)Karstik yer şekilleri bölgesi D)II ve IV E)III ve IV,,,Az gelişmiş bölge,,,TYT Matematik,Matematik,,,
"Hegel, Hukuk Felsefesinin Prensipleri adlı eserinde 13. XX. yüzyıl düşünürlerinden Martha Nussbaum,",Mevcut zamanın ötesine geçip tüm çağlara hitap eder. A) Bir davranışı ahlaken iyi yapan şey içerdiği niyettir.,"Bir dönemin olaylarını olup bittikten sonra düşüncede B) İyinin değeri, eylemin gerçekleştirilme şekliyle kavrar. belirlenir. C)Ele aldığı konularla olayların akışını değiştirebilir. C)İyi yaşam, risklerden akıllıca uzaklaşabilmeyi gerektirir. D)Dünyayı yorumlamayı değil basitçe algılamayı hedefler. D)İyi davranış, belirsizlikte bile yönünü değiştirmeyendir.",,,İnsana dair her türlü mesele üzerine fikir yürütebilir. E) Dünyanın ve yaşamın rastgeleliği iyiliğin önünde engeldir.,,,TYT Matematik,Matematik,,,
Adını atom bombasını geliştiren ekibin liderinden alan,Bilimsel bulgular toplumdan topluma değişiklik gösterir.,"Bilimsel bilgi yenilenme ve güncellenmeye açıktır. C)Bilim insanlarının birtakım ahlaki yükümlülükleri vardır. D)Bilim, kişisel değer yargıları ve toplumsal koşullarla iç içedir.",,,Bilim tarihi için biyografik filmler vazgeçilmez bir kaynaktır. 17 Diğer sayfaya geçiniz. 2024-TYT/SOS,,,TYT Matematik,Matematik,,,
Engin: Sence bir şeyi düşünmek onu var eder mi? 15. Locke’a göre nesnelerin birincil ve ikincil nitelikleri,Duyular aracılığıyla kanıtlanabilir. C)Maddi olmayan varlıkların gerçek özlerini bilmemiz,"Sezgilerden hareketle kanıtlanabilir. mümkündür. C)Evrenin düzeninden hareketle kanıtlanabilir. D)Renk, koku gibi nitelikler varlığın asıl nitelikleridir. D)Her şeyin ilk nedeni Tanrı olduğu için kanıtlanabilir. E) Duyumlarımıza kaynaklık eden nesnel bir dış dünya yoktur.",,,Tanrı kavramının tanımıyla kanıtlanabilir. 18 Diğer sayfaya geçiniz. 2024-TYT/SOS 16 - 20. soruları Din Kültürü ve Ahlak Bilgisi dersini yasal olarak almak zorunda olanlar ve,,,TYT Matematik,Matematik,,,
"Öğretmen, derste ahlaki davranışların neler olduğu ve",Salim duyu Selim akıl Sadık haber C)Sadık haber Selim akıl Salim duyu D)Selim akıl Salim duyu Sadık haber 19 Diğer sayfaya geçiniz. 2024-TYT/SOS 21 - 25. soruları Din Kültürü ve Ahlak Bilgisi,Selim akıl Sadık haber Salim duyu,,,Sadık haber Salim duyu Selim akıl,,,TYT Matematik,Matematik,,,
"Hz. Muhammed, tebliğe başladığında kendisine daha dersini yasal olarak almak zorunda olmayan veya","“Eğer (anne ve baban), hakkında hiçbir bilgi sahibi söylenebilir ancak asıl araştırdığı bu dilin kendisi olmadığın bir şeyi bana ortak koşman için seninle değildir. Filozofun kaygısı dilin dil olarak ele alınması uğraşırlarsa, onlara itaat etme. Fakat dünyada onlarla değil dil ile ifade edilen şeyin kendisidir. Bu bakımdan iyi geçin...” (Lokman, 31:15) felsefe, varlığa yönelmiş dilin işaret ettiği şeyler ve onlara erişim sorunuyla ilgilenir.","“Allah, sizi ancak, sizinle din konusunda savaşan, sizi Buna göre aşağıdakilerden hangisi bir felsefe yurtlarınızdan çıkaran ve çıkarılmanız için destek sorusunun konusu değildir? verenleri dost edinmekten men eder.” (Mümtehine, 60:9) A) Anlamları bakımından felsefi sorgulamanın nesnesi olan kavramlar C)“... Eğer onlardan biri, ya da her ikisi senin yanında ihtiyarlık çağına ulaşırsa, sakın onlara “öf!” bile deme; B) Varoluşlarına bağlı olarak dilde temsil edildikleri onları azarlama; onlara tatlı ve güzel söz söyle.” biçimleriyle şeyler (İsra, 17:23) C)Gerçekliği düşünebilme ve ona erişimde dilin önemi D)“De ki: Gelin, Rabbinizin size haram kıldığı şeyleri okuyayım: O’na hiçbir şeyi ortak koşmayın. Anaya D)Dilde ifadesini bulan ancak onu aşan gerçeklikler babaya iyi davranın...” (Enam, 6:151)",,,"“Onlara (anne ve babana) merhamet ederek tevazu duygulanımları kanadını indir ve de ki: “Rabbim! Tıpkı beni küçükken koruyup yetiştirdikleri gibi sen de onlara acı.” (İsra, 17:24)",,,TYT Matematik,Matematik,,,
Doğa filozofları; görünüş ve gerçeklik arasında bir ayrım 25. Dilthey; tarihi yeni bir bakış açısıyla yorumlayarak,Birliğin değil çokluğun felsefesini yapması,"Evrenin göründüğü gibi olduğuna inanması oluşturur. C)Dünyayı duyu dünyasına ait olmayan unsurlarla C)Geçmiş, insanın şimdiki zamanının şekillenmesinde açıklaması etkilidir. D)Doğanın insan zihninin bir ürünü olduğunu düşünmesi D)Tarih, insanın hem var ettiği hem de ondan etkilendiği bir süreçtir.",,,"İnsan, zaman içinde olan bir varlık olduğu için tarihseldir.",,,TYT Matematik,Matematik,,,
Eukleides’in Elementler adlı eserinde kullandığı,Yöntemin çok aşamalı oluşu bilgiye ulaşmayı zorlaştırır.,Gerçek bilgiye ulaşmanın birden fazla yöntemi vardır. C)Mutluluğa ulaştıran bilginin kesinliği yöntemle ilişkilidir. D)Mantıksal bilgi doğa yasalarını anlamaya ve açıklamaya yarar.,,,Geleneksel yöntemler bilgimizi kesinlik düzeyine ulaştırır. SOSYAL BİLİMLER TESTİ BİTTİ. 21 TEMEL MATEMATİK TESTİNE GEÇİNİZ. 2024-TYT/TEM TEMEL MATEMATİK TESTİ,,,TYT Matematik,Matematik,,,
"3. Selma, sarı ve mavi renklerden oluşan özdeş",28 B) 26 C)24 D)22 E) 20 22 Diğer sayfaya geçiniz. 2024-TYT/TEM,,,,,,,TYT Matematik,Matematik,,,
"Elif’in, matematik kitabında okuduğu bir not aşağıdaki 6. Ali, Burcu ve Can; yayımlanacak olan okul dergisinin",B) C) D) E),,,,,,,TYT Matematik,Matematik,,,
Aşağıdakilerden hangisi rasyonel sayı olmayan kasadaki elmalar B sınıfına dağıtıldığında ise bu kasada,"B) –1 C) D) E) Buna göre I. Her bir kasada tek sayıda elma bulunmaktadır. II. Bu iki sınıftaki öğrenci sayılarının farkı bir tek sayıdır. III.Bu iki sınıftaki öğrenci sayılarının çarpımı bir çift sayıdır. ifadelerinden hangileri kesinlikle doğrudur? A)Yalnız I B)Yalnız III C)I ve II D)II ve III E)I, II ve III 23 Diğer sayfaya geçiniz. 2024-TYT/TEM",,,,,,,TYT Matematik,Matematik,,,
"Bir mağazada satılan bir bulaşık makinesi, bir çamaşır 9. türünden bazı değerleri verilen, eşit bölmelere","B) C) fazlasına satıldığında mağaza kâr etmekte, bir buzdolabının maliyet fiyatının üç katından 20 bin TL eksiğine satıldığında ise mağaza zarar etmektedir. Buna göre bir buzdolabının maliyet fiyatının alabileceği tüm değerleri ifade eden eşitsizlik aşağıdakilerden hangisidir? E) 24 Diğer sayfaya geçiniz. 2024-TYT/TEM",,,,,,,TYT Matematik,Matematik,,,
"A ve B iki küme olmak üzere 11. Ayşe, uçakla yapacağı bir yolculuk için aşağıdakilerden",B) C) 25 Diğer sayfaya geçiniz. 2024-TYT/TEM,,,,,,,TYT Matematik,Matematik,,,
"Dik koordinat düzleminde f, g ve h fonksiyonlarının 14. A, B ve C birbirinden farklı rakamlar olmak üzere",21 B) 22 C)23 D)24 E) 25,,,,,,,TYT Matematik,Matematik,,,
