soru_metni,sik_a,sik_b,sik_c,sik_d,sik_e,dogru_cevap,zorluk,konular,ders_ad,aciklama,image_url,cozum_videosu_url
"Dondurma, XIX. yüzyıldan bu yana keyifle tükettiğimiz yiyeceklerdendir. 1800’lerin başında Anadolu’da süt anlamlandırmaya uygun değildir. ve meyvenin karıştırılmasıyla yapılan dondurma, yüzyılın ortalarına doğru bir sokak lezzetine dönüşür. Osmanlı İstanbul’unda ilk olarak seyyar satıcılarla karşımıza çıkan kullanıldıkça yeni çağrışımlar kazanır. dondurmanın bu şekilde satılması XX. yüzyılın ilk çeyreğine kadar sürer. 1930’lara gelindiğinde ise muhallebicilerde ve pastanelerde satılmaya başlar. sözlüklerde bulunması mümkün değildir. Sonraları ise sanayileşmenin etkisiyle dondurma yapımında elektrikli aletler kullanılır. Böylelikle dondurma, türlü değişimlere ayak uydurarak Türk mutfağındaki değerini korur. Bu parçada dondurmayla ilgili aşağıdakilerin",,,"Bilimsel kavramlar, anlam genişlemesi ve yeniden yiyeceklerdendir. 1800’lerin başında Anadolu’da süt anlamlandırmaya uygun değildir. ve meyvenin karıştırılmasıyla yapılan dondurma, yüzyılın ortalarına doğru bir sokak lezzetine dönüşür. Osmanlı","Kimi sözcükler, sözlük anlamlarının dışında İstanbul’unda ilk olarak seyyar satıcılarla karşımıza çıkan kullanıldıkça yeni çağrışımlar kazanır. dondurmanın bu şekilde satılması XX. yüzyılın ilk çeyreğine kadar sürer. 1930’lara gelindiğinde ise","Sözcüklere yüklenen bazı kişisel anlamların, muhallebicilerde ve pastanelerde satılmaya başlar. sözlüklerde bulunması mümkün değildir. Sonraları ise sanayileşmenin etkisiyle dondurma yapımında elektrikli aletler kullanılır. Böylelikle dondurma, türlü değişimlere ayak uydurarak Türk mutfağındaki değerini korur. Bu parçada dondurmayla ilgili aşağıdakilerin",,,TYT Matematik,Matematik,,,
"İnsanlar her adımını bir seçeneğe bağlar: başarı ya da hangisine değinilmemiştir? başarısızlık, zafer ya da bozgun. Bense bu seçeneklere hep mesafeli durmuşumdur. Çünkü başarmak ya da başarısızlığa uğramanın ancak durumsal, geçici anlamlar taşıdığına inanırım. Bu yüzden bana sürekli bir yarış pistinde olduğumu hissettiren ve her ne olursa olsun üretme ve hayata devam etme gücümü azaltan bu düşünme biçimini reddeder, akışına göre yaşamaya çalışırım. Bu parçanın yazarıyla ilgili aşağıdakilerden hangisi söylenemez? gösterir. çalışır. görür. önceler. 9 Diğer sayfaya geçiniz. 2024-TYT/TÜR","İçeriğinde hangi tür malzemelerin kullanıldığına hep mesafeli durmuşumdur. Çünkü başarmak ya da başarısızlığa uğramanın ancak durumsal, geçici",Üretiminde teknolojik gelişmelerden de yararlanıldığına anlamlar taşıdığına inanırım. Bu yüzden bana sürekli bir yarış pistinde olduğumu hissettiren ve her ne olursa olsun üretme ve hayata devam etme gücümü azaltan,"Ekonomik olarak erişilmesinin kolay olduğuna bu düşünme biçimini reddeder, akışına göre yaşamaya çalışırım.",Çeşitli dönemlerde farklı mekânlarda satıldığına Bu parçanın yazarıyla ilgili aşağıdakilerden hangisi,Yemek kültüründeki yerini korumaya devam ettiğine söylenemez? A) Başkalarının doğrularına göre yaşamaktan kaçınır. B) Kalıplara girmeden olduğu gibi yaşamaya özen gösterir. C)Olumsuz sonuçlanabilecek girişimlerden uzak durmaya çalışır. D)Yaşamı koşullara göre şekillenen bir deneyim olarak görür. E) İlerlemek için kaygı verici durumlardan kaçınmayı önceler. 9 Diğer sayfaya geçiniz. 2024-TYT/TÜR,,,TYT Matematik,Matematik,,,
"Günlükler, bir yaşama dair en mahrem ve saygın",,,,,,,,TYT Matematik,Matematik,,,
"Kelebek şeklindeki mimarisiyle şehrin sembol ziyaret cevaplayınız. mekânlarından Konya Tropikal Kelebek Bahçesi, Avrupa’nın en büyük tropikal kelebek bahçesidir.",,,,,,,,TYT Matematik,Matematik,,,
Bu parçada blues ile ilgili aşağıdakilerin hangisine değinilmemiştir?,Tarih içerisinde gösterdiği gelişime,Ortaya çıkış zamanının belirsizliğine,Temsil ettiği duyguların çeşitliliğine,İcra edilmesinde kullanılan aletlere,İçinde bir kelebeğin yaşam serüveni gözlemlenebilir. A) Tarih içerisinde gösterdiği gelişime B) Ortaya çıkış zamanının belirsizliğine C)Temsil ettiği duyguların çeşitliliğine D)İcra edilmesinde kullanılan aletlere E) Bestelerinin ilham verdiği milletlere,,,TYT Matematik,Matematik,,,
soruları aşağıdaki parçaya göre,,,,,,,,TYT Matematik,Matematik,,,
soruları aşağıdaki parçaya göre,,,,,,,,TYT Matematik,Matematik,,,
Bu parçaya göre güneş gülü hakkında aşağıdakilerin hangisi söylenemez? müdahaleyle açığa çıkar. kabiliyeti kazandırır. olanak tanır. yapısını kalıcı olarak değiştirir. hareketsiz kalmasını sağlar. 12 Diğer sayfaya geçiniz. 2024-TYT/TÜR 39 -,Kimyasal etkileşime ve uyarana yönelik tepkileri dış müdahaleyle açığa çıkar.,Hücreleri arasındaki yapısal farklar ona hareket kabiliyeti kazandırır.,Duyarlı tüyleri hareketi algılayarak şekil değiştirmesine olanak tanır.,Yapraklarına uygulanan dışsal kuvvet kimyasal yapısını kalıcı olarak değiştirir.,Salgıladığı bir madde temas sonrasında avının hareketsiz kalmasını sağlar. 12 Diğer sayfaya geçiniz. 2024-TYT/TÜR 39 -,,,TYT Matematik,Matematik,,,
Bu parçada altı çizili sözle eleştirilen okur tipi aşağıdakilerden hangisidir?,Gerçek ile kurguyu ayıramayan,Hayatı kitaplarla sınırlandıran,Gösteriş için kitap okuyan,Kitapları okumayıp istifleyen,Kitaplarda kendinden iz arayan,,,TYT Matematik,Matematik,,,
"soruları aşağıdaki parçaya göre cevaplayınız. Gustave Flaubert, eserlerinde oluşturduğukarakterler aracılığıyla bir okurun nasıl olmaması gerektiğini eleştirel bir dilleokura anlatmanın peşindedir. Daha on altı yaşındayken yazdığı Bibliyo-manyak’ta okumayı zar zor sökmüş, sadece başlıklarına bakarak kitap toplayan takıntılı bir sahafı mizahi bir bakış açısıyla betimler. Madam Bovary’de kitapları yutar gibi okuyan, kadın karakterler ile kendisini özdeşleştiren Emma ve onun kitaplardan ezberlediği alıntıları dinlerken hiçbir tepki vermeyen eşini konu eder. Son kitabı Bilirbilmezler’de ise bir ayrım yapmadanher şeyi okuyup dünya bilgisini edineceklerine inanan iki basılı sayfa gezginini resmeder. Ona göre evlerinden dışarı çıkmayan bu iki tip, hiçbir zaman gerçek hayatın nasıl olduğunu bilemeyecektir. Ayrıca bir dostuna yazdığı mektupta Flaubert, okurun hayat çırağı olması gerektiğini söyler ve “Yaşamak için oku!” diyerek ona öğütte bulunur.",,,,,,,,TYT Matematik,Matematik,,,
Bu testte 40 soru vardır.,,,,,,,,TYT Matematik,Matematik,,,
"Cevaplarınızı, cevap kâğıdının Türkçe Testi için ayrılan kısmına işaretleyiniz.",,,,,,,,TYT Matematik,Matematik,,,
Bu testte 40 soru vardır.,,,,,,,,TYT Matematik,Matematik,,,
"Cevaplarınızı, cevap kâğıdının Türkçe Testi için ayrılan kısmına işaretleyiniz.",,,,,,,,TYT Matematik,Matematik,,,
Deyimlerin bir kısmı gözle ilgilidir. Örneğin gözü ısırmak deyimiyle o kişiyi daha önce görmüş,,,,,,,,TYT Matematik,Matematik,,,
"Günümüzde yeni bir pencere açmak, eskinin boşluğuna dokunmakla mümkündür. Aşağıdakilerden hangisi bu cümleyle anlamca aynı doğrultudadır? var olur. keşfedilerek ortaya çıkar. kalıcı bir mirastır. uğratır. özümsemekle gerçekleşir. 2 Diğer sayfaya geçiniz. 2024-TYT/TÜR","Yeni fikirler, gelenekle kurulan sürekliliği kopararak var olur.","Özgün düşünceler, geçmişte önemsenmeyenler keşfedilerek ortaya çıkar.","Eskinin bıraktığı değerler, taşımakla yükümlü olunan kalıcı bir mirastır.","Çağdaş bakış açısı, zihindeki geleneksel kodları yıkıma uğratır.","Kendine yeni bir alan açmak, mevcut düşünceleri özümsemekle gerçekleşir. 2 Diğer sayfaya geçiniz. 2024-TYT/TÜR",,,TYT Matematik,Matematik,,,
"I. İster ebeveyn isterse eğitimci olsun çoğu yetişkin,",,,,,,,,TYT Matematik,Matematik,,,
Bu caddenin taşlarının üzerinden yüzyıllar boyunca,,,,,,,,TYT Matematik,Matematik,,,
"Kirli bir sokaktan geçipköşkün merdivenlerini tırmandım. geçen insanların ayak seslerini takip edenler, bir kalenin I oya gibi işlenmiş kapısı önünde bulurlar izlerini. İlk bakışta hepsi birbirine benzeyen kapıların arasında II Bu cümledeki ögelerin dizilişi aşağıdakilerin düz tahta kapıyı tanıdım. Çaldığım kapı açıldığında az hangisinde sırasıyla verilmiştir? evvel yaşadığım keşmekeşten eser kalmamıştı. Zevkli III döşenmiş bir evin odasında bulmuştum kendimi. IV Yemyeşil bahçeden taşan huzur, geniş pencerelerden ayaklarımın dibine doğru uzanıyordu. Bu parçada numaralanmış tamlamalardanhangisi, türü bakımından diğerlerinden farklıdır?",Özne - yüklem - belirtili nesne III döşenmiş bir evin odasında bulmuştum kendimi.,"Zarf tümleci - özne - belirtili nesne - yüklem IV Yemyeşil bahçeden taşan huzur, geniş pencerelerden",Özne - yer tamlayıcısı - yüklem - belirtili nesne ayaklarımın dibine doğru uzanıyordu.,"Zarf tümleci - belirtili nesne - yüklem - özne V Bu parçada numaralanmış tamlamalardanhangisi,",Belirtili nesne - yer tamlayıcısı - yüklem - özne türü bakımından diğerlerinden farklıdır? A) I B) II C)III D)IV E) V,,,TYT Matematik,Matematik,,,
"Aşağıdaki cümlelerin hangisinde büyük harflerin yerel pazara uğradım ve kahvaltılıklarımı alıp doğruca yazımıyla ilgili yanlışlık yapılmıştır? limandaki çay bahçesine yöneldim. (III) Balığa giden sandalları ve küçük tekneleri izlemek, Sinop’ta neler olup Millî Parkı bu yıl tekrar açıldı. bittiğini öğrenmek için bu çay bahçeleri en doğru adres. (IV) Yalı Kahvesi’nde denize nazır bir masaya yerleşip müşterilerinin adını, kahvesini yahut çayını nasıl içtiğini yanında etkinliklerle kutladı. bildiği rivayet edilen Mükremin’den bir çay da ben istedim. (V) Sinopluların hiçbir içeceği, soğuk tüketmeyi sevmediğini öğrendim Mükremin’in getirdiği sımsıcak fetih gerçekleşti. çayı yudumlarken. Bu parçada numaralanmış cümlelerden hangisi, tercih edildi. yükleminin türüne göre diğerlerinden farklıdır? hafta Ankara’da kabul etti. 3 Diğer sayfaya geçiniz. 2024-TYT/TÜR","Uzun süreden beri ziyarete kapalı olan Yozgat Çamlığı sandalları ve küçük tekneleri izlemek, Sinop’ta neler olup Millî Parkı bu yıl tekrar açıldı. bittiğini öğrenmek için bu çay bahçeleri en doğru adres. (IV) Yalı Kahvesi’nde denize nazır bir masaya yerleşip","Türkiye Cumhuriyeti, yüzüncü yılını ülkenin dört bir müşterilerinin adını, kahvesini yahut çayını nasıl içtiğini yanında etkinliklerle kutladı. bildiği rivayet edilen Mükremin’den bir çay da ben istedim. (V) Sinopluların hiçbir içeceği, soğuk tüketmeyi",Türk tarihi açısından 29 Mayıs 1453 Salı günü kutlu bir sevmediğini öğrendim Mükremin’in getirdiği sımsıcak fetih gerçekleşti. çayı yudumlarken.,"Kutlamalar için şehrin en güzel yeri olan Zafer Meydanı Bu parçada numaralanmış cümlelerden hangisi, tercih edildi. yükleminin türüne göre diğerlerinden farklıdır? A) I B) II C)III D)IV",V E) Yurt dışından gelen resmî heyeti bakan geçtiğimiz hafta Ankara’da kabul etti. 3 Diğer sayfaya geçiniz. 2024-TYT/TÜR,,,TYT Matematik,Matematik,,,
Birleşme sırasında kelimelerden her ikisi veya ikincisi,,,,,,,,TYT Matematik,Matematik,,,
"(I) Yıldırım Bayezid; kuşatılmış Niğbolu Kalesi’nden anlam değişmesine uğradığında bu tür birleşik kelimeler haber almak, düşmanın asker sayısını öğrenmek bitişik yazılır. niyetiyle Evrenos Bey’i kaleye yolladı. (II) Fakat Evrenos Bey ne düşmandan esir, ne de içeriden haber alabildi. Buna göre aşağıdaki cümlelerin hangisinde (III) Yıldırım’ın buna canı sıkıldı, uykuları kaçtı ve gece yazım yanlışı yapılmıştır? kimseye haber vermeden atına binip hızla kaleye gitti. tüketilen tatlıların başında bülbülyuvası ve kadayıf gelir. bir sesle “Bre Doğan! Bre Doğan! Hâliniz nicedir?” diye bağırdı. (V) Zaten kale duvarının üzerinde bulunan meyvelerin pazar tezgâhlarını süslediği zamanlardır. Hünkârım! Her taraf muhkem, muhafızlar gece gündüz uyanık, yeteri kadar zahirem mevcut.” diye karşılık verdi. Bu parçada numaralanmış cümlelerin hangisinde ütüleyerek ertesi gün giymek üzere hazırladı. virgül kullanımında yanlışlık yapılmıştır? annemden ve benden en çok dinlediği masaldır. uzaklardan bile ayırt edilebiliyordu.","Sıcak yaz günlerinde dondurmanın yanında çokça (IV) Yüksek bir yere çıktı, biraz soluklanıp gök gürler gibi tüketilen tatlıların başında bülbülyuvası ve kadayıf gelir. bir sesle “Bre Doğan! Bre Doğan! Hâliniz nicedir?” diye bağırdı. (V) Zaten kale duvarının üzerinde bulunan","Ekim ve kasım ayları elma, nar, ayva ve beşbıyık gibi Doğan Bey, onun sesini duyunca “Merak buyurmayın meyvelerin pazar tezgâhlarını süslediği zamanlardır. Hünkârım! Her taraf muhkem, muhafızlar gece gündüz uyanık, yeteri kadar zahirem mevcut.” diye karşılık verdi.","Çok sevdiği kavuniçi elbisesini dolaptan özenle çıkardı, Bu parçada numaralanmış cümlelerin hangisinde ütüleyerek ertesi gün giymek üzere hazırladı. virgül kullanımında yanlışlık yapılmıştır?","Cırcırböceği ile karıncanın macerası, kardeşimin A) I B) II C)III D)IV",V annemden ve benden en çok dinlediği masaldır. E) Narçiçeği rengindeki şapkasıyla kalabalık içinde çok uzaklardan bile ayırt edilebiliyordu.,,,TYT Matematik,Matematik,,,
"Bir yazar olarak uzun uzadıya irdelenmesi gerektiğini pek çok turistik ve kültürel mekân vardır. (II) Zeugma düşündüğüm taşra yalnızlığı diye bir kavram var. Bazen Mozaik Müzesi, şehri tanıyabilmek için mutlaka ziyaret çok ızdırap verici olsa da insanın kendisiyle baş başa edilmesi gereken durakların başında gelir. (III) 2011 kalabilmesi için oldukça faydalı bir yalnızlık bu. Kültürel yılında açılan yapı; mimari, teknolojik ve kültürel açıdan nispeten cılız ancak oldukça sevimli olan bu açıdan sadece şehrin değil dünyanın önde gelen şehirde ben, taşra yalnızlığını kurmacayla avantaja müzelerindendir. (IV) Zeugma şehrinden kalan eserlerin dönüştürmeye çabalayanlardanım. Bu hâl, beni kalem ve sergilendiği müzedeki buluntularla iki bin yıllık geçmişe kitaplarla dostluğa sevk ediyor. Ayrıca bu sınırlı alanda tanıklık edilebilir. (V) MÖ 300’de Büyük İskender’in oluşturduğum sonsuz kültür evreniyle merkezde “Selevkia Euphtrates” adıyla kurduğu yerleşim yeri, kurduğum yaşantıya bir alternatif bulduğuma Kommagene Krallığı’nın dört büyük şehrinden biridir. inanıyorum. (VI) Yaklaşık iki yüz elli yıl sonra Roma İmparatorluğu’na Aşağıdakilerden hangisi bu parçadaki düşünceyi bağlanan şehir, “köprü, geçit” anlamlarına gelen ve destekler niteliktedir? bugün müzeye de adını veren Zeugma olarak anılmaya başlanmıştır. bağımsız gelişir. Bu parça iki paragrafa ayrılmak istense ikinci paragraf numaralanmış cümlelerin hangisiyle başlar? gücünü besler. kurmasını sağlar. edebiyatla mümkün olur.",Edebiyatta yalnızlık duygusu zaman ve mekândan bağımsız gelişir. Bu parça iki paragrafa ayrılmak istense ikinci paragraf numaralanmış cümlelerin hangisiyle,"Yalnızlık, edebî eser yazma sürecinde kişinin hayal başlar? gücünü besler. A) II B) III",IV,V,"VI C)Edebî metinler, taşra ve merkezdeki kültürün yakınlık kurmasını sağlar. D)Mekânı ve kimi olumsuz duyguları aşabilmek edebiyatla mümkün olur.",,,TYT Matematik,Matematik,,,
(I) Gaziantep’in tarihini anlayabilmek için gezilecek,,,,,,,,TYT Matematik,Matematik,,,
Yaklaşık yedi milyon nüfusa sahip Hong Kong’da,,,,,,,,TYT Matematik,Matematik,,,
"(I) Modern tıbbın temelinde yer alan Hipokrat yemini, tıp biliminin etik prensiplerini yansıtır. (II) Hipokrat’ın belirler. benimsediği ilkelerden biri bugün de geçerliğini korur: İnsanların, akılcı açıklamaları olan “doğal” nedenler yüzünden hastalandığı. (III) Hâlbuki Hipokrat ve takipçilerinden önce Yunanistan’da ve ona komşu ülkelerde hastalıkların doğaüstü bir boyutu olduğu varsayılıyordu. (IV) Tanrılara karşı gelindiği veya doğaüstü güçleri olan biri tarafından büyü yapıldığı için hastalıkların ortaya çıktığı düşünülüyordu. (V) Hastalıklara doğaüstü güçler yol açabiliyorsa tedavi yöntemlerini de rahiplere veya büyücülere bırakmanın en iyi çözüm olacağı düşüncesine sahiplerdi. Bu parçada numaralanmış cümlelerden hangisi düşüncenin akışını bozmaktadır? 5 Diğer sayfaya geçiniz. 2024-TYT/TÜR",I,II,III,IV,"Edebiyatla uğraşmak kalabalıklara karşı takınılan tavrı tıp biliminin etik prensiplerini yansıtır. (II) Hipokrat’ın belirler. benimsediği ilkelerden biri bugün de geçerliğini korur: İnsanların, akılcı açıklamaları olan “doğal” nedenler yüzünden hastalandığı. (III) Hâlbuki Hipokrat ve takipçilerinden önce Yunanistan’da ve ona komşu ülkelerde hastalıkların doğaüstü bir boyutu olduğu varsayılıyordu. (IV) Tanrılara karşı gelindiği veya doğaüstü güçleri olan biri tarafından büyü yapıldığı için hastalıkların ortaya çıktığı düşünülüyordu. (V) Hastalıklara doğaüstü güçler yol açabiliyorsa tedavi yöntemlerini de rahiplere veya büyücülere bırakmanın en iyi çözüm olacağı düşüncesine sahiplerdi. Bu parçada numaralanmış cümlelerden hangisi düşüncenin akışını bozmaktadır? A) I B) II C)III D)IV E) V 5 Diğer sayfaya geçiniz. 2024-TYT/TÜR",,,TYT Matematik,Matematik,,,
"Modern fiziğe göre atom altı düzeyde madde; belirli yerlerde kesin bir biçimde var olmaz, “var olma eğilimi”",,,,,,,,TYT Matematik,Matematik,,,
"MÖ V. yüzyılın sonlarında resimleriyle ünlenmiş Zeuxis, gösterir. Benzer şekilde atomik olaylar da belirli elinde üzüm tutan bir çocuğun resmini yapmış. Üzümler zamanlarda ve şekillerde nihai bir biçimde oluşmaz, öylesine gerçek gibi duruyormuş ki kuşlar gelip yemeye sadece “oluşma eğilimi” içindedir. Dolayısıyla atom altı kalkışmış. Bundan dolayı övüldüğü zaman Zeuxis, parçacıkların kendi başlarına hiçbir anlamı yoktur. ----. üzülerek “Çocuğun resmini daha iyi yapabilseydim kuşlar Çünkü atom altı parçacıklar “şeyler” değil “şeyler ondan korkardı.” demiş. arasındaki bağlantılar”dır. Aşağıdakilerden hangisi bu parçadaki düşünceyi Bu parçada boş bırakılan yere aşağıdakilerden destekler niteliktedir? hangisi getirilmelidir? yüklendiği özel işlevlere göre gerçekleşir çağdaş fizik bize evrenin bir bütün olduğunu anlatır bakımından ayrılır. süreçlerle olan ilişkileri içinde bir anlam kazanır biçimiyle değerlendirilir. atom altı düzey, maddenin varlığına bağımlıdır kalıcılığa erişir. yoluyla incelendiğinde maddenin varlığı kanıtlanır 6 Diğer sayfaya geçiniz. 2024-TYT/TÜR","Sanat eseri, doğada var olanı benzersiz kıldığı ölçüde A) Fakat atomik olayların oluşması atom altı parçacıkların değerli kabul edilir. yüklendiği özel işlevlere göre gerçekleşir","Sanatçı, doğayı gerçekçi bir biçimde yansıtabildiği B) Oysa atom altı parçacıkların işleyişi bağlamında oranda başarılıdır. çağdaş fizik bize evrenin bir bütün olduğunu anlatır","Resim sanatı, diğer sanatlardan gerçekçiliği ele alışı bakımından ayrılır. C)Ancak gözlemlenebilir ve ölçülebilir nitelikteki süreçlerle olan ilişkileri içinde bir anlam kazanır","Sanatçının özgünlüğü, temel aldığı konuyu işleyiş biçimiyle değerlendirilir. D)Kaldı ki zaman ve mekândan bağımsız olamayan atom altı düzey, maddenin varlığına bağımlıdır","Sanat eseri, insanın temel özelliklerini içerdiğinde kalıcılığa erişir. E) Ne var ki atom altı parçacıklar, somutlaştırmalar yoluyla incelendiğinde maddenin varlığı kanıtlanır 6 Diğer sayfaya geçiniz. 2024-TYT/TÜR",,,TYT Matematik,Matematik,,,
