soru_metni,sik_a,sik_b,sik_c,sik_d,sik_e,dogru_cevap,zorluk,konular,aciklama,ders_ad
K ve L maddelerinin tanecikleri arasındaki etkileşimlerle ilgili bilgiler aşağıda verilmiştir. Bu sistemde aynanın odak noktasında bulunan ışık  K’nin tanecikleri arasında sadece indüklenmiş kaynağından tek renkli mavi ışık yayılsaydı ışık dipol-indüklenmiş dipol etkileşimi vardır. aynadan yansıyıp mercekten geçtikten sonra asal  L’nin tanecikleri arasında dipol-dipol etkileşimi eksenin neresinde toplanacak şekilde kırılırdı? vardır.,CH F 4 2,H O 2 2,Ne H O 2,H O HF 2,F - T noktaları arasında,,,TYT Türkçe,,Türkçe
Sıvı hâldeki etanol ile ilgili doğru verilmiştir? I. Açık bir kapta her sıcaklıkta buharlaşır. X Y II. Aynı koşullarda farklı yüzey alanına sahip eşit,Erlenmayer Büret kütleli iki etanol örneğinin buharlaşma hızları aynıdır.,"Pipet Balon joje III.Etanolün denge buhar basıncı, içinde bulunduğu kabın hacmine bağlıdır.",Balon joje Büret ifadelerinden hangileri doğrudur?,Beherglas Pipet A)Yalnız I B)Yalnız II C)Yalnız III,Erlenmayer Huni D)I ve III E)II ve III 37 Diğer sayfaya geçiniz. 2024-TYT/FEN,,,TYT Türkçe,,Türkçe
"Adını atom bombasını geliştiren ekibin liderinden alan Oppenheimer filmi, dünyayı etkileyen bir buluşun nasıl ortaya çıktığını anlatırken bilimsel bilginin niteliğine ilişkin de düşündürür. Filmde Oppenheimer’ın ulusal bir kahraman olarak hızla yükselişi ve bir idari soruşturma ile gözden düşüşü arasında birçok olaya şahit oluruz. Nitekim onun felsefi sorgulamaları, romantik ve siyasi ilişkileri, dönemin diğer bilim insanları ile yaşadığı fikir uyuşmazlıkları ve rekabet; bilimsel gelişmelerin dış dünyadan yalıtılmış değil kişisel motivasyonların, ahlaki değerlerin ve siyasi beklentilerin şekillendirdiği tarihsel bir bağlam içinde gerçekleştiğini gösterir. Bu parçada aşağıdakilerden hangisi vurgulanmaktadır?",Bilimsel bulgular toplumdan topluma değişiklik gösterir.,"Bilimsel bilgi yenilenme ve güncellenmeye açıktır. C)Bilim insanlarının birtakım ahlaki yükümlülükleri vardır. D)Bilim, kişisel değer yargıları ve toplumsal koşullarla iç içedir.",,,Bilim tarihi için biyografik filmler vazgeçilmez bir kaynaktır. 17 Diğer sayfaya geçiniz. 2024-TYT/SOS,,,TYT Türkçe,,Türkçe
"Dik koordinat düzleminde f, g ve h fonksiyonlarının 14. A, B ve C birbirinden farklı rakamlar olmak üzere grafikleri şekilde verilmiştir. A rakamı B rakamının, B rakamı ise C rakamının birer tam sayı katıdır. ABC üç basamaklı doğal sayısı 3 ile tam bölünebildiğine göre bu sayının rakamları çarpımı kaçtır?",21 B) 22 C)23 D)24 E) 25,,D) Örneğin 552 ve 255 birer bitişik sayıdır. E) AB1 ve BC4 sayıları birer bitişik sayı olduğuna göre toplamı kaçtır?,,,,,TYT Türkçe,,Türkçe
"(I) Gaziantep’in tarihini anlayabilmek için gezilecek 18. Bir yazar olarak uzun uzadıya irdelenmesi gerektiğini pek çok turistik ve kültürel mekân vardır. (II) Zeugma düşündüğüm taşra yalnızlığı diye bir kavram var. Bazen Mozaik Müzesi, şehri tanıyabilmek için mutlaka ziyaret çok ızdırap verici olsa da insanın kendisiyle baş başa edilmesi gereken durakların başında gelir. (III) 2011 kalabilmesi için oldukça faydalı bir yalnızlık bu. Kültürel yılında açılan yapı; mimari, teknolojik ve kültürel açıdan nispeten cılız ancak oldukça sevimli olan bu açıdan sadece şehrin değil dünyanın önde gelen şehirde ben, taşra yalnızlığını kurmacayla avantaja müzelerindendir. (IV) Zeugma şehrinden kalan eserlerin dönüştürmeye çabalayanlardanım. Bu hâl, beni kalem ve sergilendiği müzedeki buluntularla iki bin yıllık geçmişe kitaplarla dostluğa sevk ediyor. Ayrıca bu sınırlı alanda tanıklık edilebilir. (V) MÖ 300’de Büyük İskender’in oluşturduğum sonsuz kültür evreniyle merkezde “Selevkia Euphtrates” adıyla kurduğu yerleşim yeri, kurduğum yaşantıya bir alternatif bulduğuma Kommagene Krallığı’nın dört büyük şehrinden biridir. inanıyorum. (VI) Yaklaşık iki yüz elli yıl sonra Roma İmparatorluğu’na Aşağıdakilerden hangisi bu parçadaki düşünceyi bağlanan şehir, “köprü, geçit” anlamlarına gelen ve destekler niteliktedir? bugün müzeye de adını veren Zeugma olarak anılmaya başlanmıştır.","II B) III C)IV D)V E) VI C)Edebî metinler, taşra ve merkezdeki kültürün yakınlık kurmasını sağlar. D)Mekânı ve kimi olumsuz duyguları aşabilmek edebiyatla mümkün olur.",,,,,,,TYT Türkçe,,Türkçe
"30 gün için bir yürüyüş planı yapan Merve, ilk gün belirli",30 B) 35 C)40 D)45 E) 50 27 Diğer sayfaya geçiniz. 2024-TYT/TEM,,,,,,,TYT Türkçe,,Türkçe
Aşağıdakilerden hangisi eşeysiz üreme ile gerçekleşmez?,Laktik asit bakterilerinin çoğalması C)M omnivor bir canlıdır.,"Kara yosunlarında sporla yeni bireylerin oluşması D)Bazı türler hem av hem de avcıdır. C)Deniz yıldızının kopan kolundan yeni bir birey oluşması E) P türü, alt trofik basamaklardaki tüm canlılarla beslenmektedir. D)Hidralarda tomurcuklanma ile yeni bir bireyin oluşması",,,Bal arılarında kraliçe arının oluşumu,,,TYT Türkçe,,Türkçe
"Yaklaşık yedi milyon nüfusa sahip Hong Kong’da 21. Sherlock Homeless ile Nasıl Tanıştım? kelime yılda iki binden fazla yaya, trafik kazası geçiriyor. oyunlarıyla dolu bir eser. Kitap daha en başta ismiyle Bu oran, akıllı telefonların kullanılmasına bağlı olarak bile okuru bir oyunun içine çekiyor. Kitaba ilk göz gün geçtikçe artıyor çünkü insanlar karşıdan karşıya attığımda dedektif Sherlock Holmes’u okuyacağımı geçerken telefonlarına bakmaya devam ediyor. düşündüm. Tabii kitabın ismini yanlış okuduğumu Bu duruma çare arayan yetkililer, çözümü yaya sayfaları karıştırdıktan sonra fark ettim. Oysaki ben, geçitlerindeki işaret sistemini değiştirmekte buldu. Holmes’u değil “evsiz” anlamına gelen “Homeless”ı Tasarlanan bu sistemde yaya geçiş ışıkları zemine okuyacaktım. Yazar, kitabındaki on bir öyküsünde yansıtılıyor. Böylece karşıdan karşıya geçmek isteyen bilindik ifadelere ufak dokunuşlar yaparak, bunları farklı yayalar, kendileri için yeşil mi yoksa kırmızı mı yandığını anlamlara dönüştürerek okurundan uyanık ve özenli bir anlıyor. Henüz deneme aşamasındaki sistemin başarılı ikinci bakış bekliyor. Bu kelime oyunlarında yazarın olması durumunda ülke genelinde yaygınlık kazanacağı “İs bırakanlar unutulmaz.” ve “Ezberimde gül oya.” bekleniyor. şeklindeki cümlelerde olduğu gibi bazen bir kelime bazen de sadece bir harf değiştirmesi yeterli oluyor. Bu parçada söz edilen sistemin geliştirilme amacı aşağıdakilerden hangisidir? Bu parçada söz edilen yazarla ilgili aşağıdakilerin hangisine değinilmemiştir?",Akıllı telefon teknolojisi aracılığıyla yayalara güvenli bir trafik ortamı sunmak A) Bir dilsel unsur olarak söz oyunlarının öykülerindeki kullanımına,"Yayaların, karşıdan karşıya geçerken akıllı telefonlarına bakmalarının önüne geçmek B) Öykü kitabına okurun ilgisini çekecek biçimde bir başlık koyduğuna C)Yayaların, akıllı telefonlarını kullanırken trafik kurallarını takip etmelerini sağlamak C)Kendine özgü anlatımını kitabındaki tek bir öyküyle sınırlamadığına D)Yayaların karıştığı kazaların nedenlerini bulmak için akıllı telefonlardan yararlanmak D)Okurunu sözcüklere hatta harflere dikkatle odaklanmaya davet ettiğine",,,Akıllı telefon kullanımının kazaya neden olduğuna dair yayaları bilinçlendirmek E) Öykülerinde yerel kültürü yansıtan sözel anlatı kalıpları kullandığına,,,TYT Türkçe,,Türkçe
"Hz. Muhammed, tebliğe başladığında kendisine daha dersini yasal olarak almak zorunda olmayan veya çok gençler iman etmiştir. Anne babası müşrik olan bu farklı müfredat ile alanlar cevaplayacaktır. gençlerin çoğuna aileleri karşı çıkmış ve onları Müslümanlıktan vazgeçirmeye çalışmışlardır. Anne babalarıyla ilişkilerini bozmak istemeyen bu gençler 21. Anlam bilimi yani semantik, adı üstünde, sözlerin anlamı aileleri ile dinleri arasında kalmışlardır. Hz. Muhammed ile uğraşır. Belli bir dildeki sözcüklerin ne anlama onlara anne babaya saygıyı elden bırakmamalarını geldiği, tarih boyunca geçirdikleri değişimler, anlam ancak her durumda Allah’ı öncelemeleri gerektiğini kaymaları ve anlam akrabalıkları bir anlam bilimcinin bildirmiştir. araştırma alanına girer. Filozof ise sözcüklerin anlamına yönelik yönelttiği soruyu bir anlam bilimci gibi sormaz. Bu parçada bahsedilen hususu en kapsamlı şekilde Bir sözcüğü bir tarih malzemesi olarak ele almaz. ifade eden ayet aşağıdakilerden hangisidir? Araştırmalarını bir dil çerçevesinde yürüttüğü","“Eğer (anne ve baban), hakkında hiçbir bilgi sahibi söylenebilir ancak asıl araştırdığı bu dilin kendisi olmadığın bir şeyi bana ortak koşman için seninle değildir. Filozofun kaygısı dilin dil olarak ele alınması uğraşırlarsa, onlara itaat etme. Fakat dünyada onlarla değil dil ile ifade edilen şeyin kendisidir. Bu bakımdan iyi geçin...” (Lokman, 31:15) felsefe, varlığa yönelmiş dilin işaret ettiği şeyler ve onlara erişim sorunuyla ilgilenir.","“Allah, sizi ancak, sizinle din konusunda savaşan, sizi Buna göre aşağıdakilerden hangisi bir felsefe yurtlarınızdan çıkaran ve çıkarılmanız için destek sorusunun konusu değildir? verenleri dost edinmekten men eder.” (Mümtehine, 60:9) A) Anlamları bakımından felsefi sorgulamanın nesnesi olan kavramlar C)“... Eğer onlardan biri, ya da her ikisi senin yanında ihtiyarlık çağına ulaşırsa, sakın onlara “öf!” bile deme; B) Varoluşlarına bağlı olarak dilde temsil edildikleri onları azarlama; onlara tatlı ve güzel söz söyle.” biçimleriyle şeyler (İsra, 17:23) C)Gerçekliği düşünebilme ve ona erişimde dilin önemi D)“De ki: Gelin, Rabbinizin size haram kıldığı şeyleri okuyayım: O’na hiçbir şeyi ortak koşmayın. Anaya D)Dilde ifadesini bulan ancak onu aşan gerçeklikler babaya iyi davranın...” (Enam, 6:151)",,,"“Onlara (anne ve babana) merhamet ederek tevazu duygulanımları kanadını indir ve de ki: “Rabbim! Tıpkı beni küçükken koruyup yetiştirdikleri gibi sen de onlara acı.” (İsra, 17:24)",,,TYT Türkçe,,Türkçe
"Vücut kitle indeksi (VKİ), bir kişinin vücudundaki tahmini 23. Bir kentte bulunan fabrikaların her biri gıda, mobilya, yağ oranını gösteren bir hesaplama yöntemidir. Bu plastik ve tekstil alanlarından yalnızca birinde üretim yöntemde öncelikle kişinin kilogram türünden ağırlığı ve yapmaktadır. Bu fabrikaların üretim alanlarına göre metre türünden boy uzunluğu ölçülür. Daha sonra sayıca dağılımı Şekil 1’deki daire grafiğinde kişinin ağırlığının boyunun karesine bölünmesiyle gösterilmiştir. o kişiye ait VKİ hesaplanır. Aşağıdaki tabloda, belirli yaş aralıklarına göre ideal VKİ aralıkları verilmiştir. 30 yaşındaki İlayda’nın yaşına uygun en küçük ideal VKİ Bu fabrikaların toplam 54 tanesi ihracat yapmaktadır. değerindeki ağırlığı ile en büyük ideal VKİ değerindeki Her bir üretim alanı için o alanda üretim yapan ağırlığı arasındaki fark 12,8 kilogram olarak fabrikalardan ihracat yapanların sayısının, o alanda hesaplanmıştır. üretim yapan toplam fabrika sayısına oranı yüzde olarak Şekil 2’deki sütun grafiğinde gösterilmiştir. Buna göre İlayda’nın boyu kaç metredir?",96 B) 120 C)144 D)154 E) 180 29 Diğer sayfaya geçiniz. 2024-TYT/TEM,,,,,,,TYT Türkçe,,Türkçe
"Biz fark etsek de etmesek de yapay zekâ artık 25. Yazarın en büyük başarılarından biri eserlerinde hayatımızın bir parçası. Bu teknoloji sayesinde kendi üçüncüşahıs anlatımı kullanmasıdır. Burada anlatıcı; kendine park eden otomobillere, akıllı sensörlerin karakterlerinbütün zihinsel durumlarını, yaşadıklarını, yardımıyla çekilen muhteşem fotoğraflara kavuştuk. yönelimlerini bilmekte ve okura anlatmaktadır. Böylelikle Benzer şekilde eğitimde de yapay zekânın etkisi gün anlatıcı, duygu ve düşüncelerini karakterlerin de okurun geçtikçe daha çok hissediliyor ve geleneksel yöntemler da yüzüne açıkça dile getirebilmektedir. Geçmiş, şimdi büyük ölçüde farklılaşıyor. Eğitimciler, psikologlar ve ve geleceğin iç içe olduğu üçüncü şahıs anlatım, birinci ebeveynler arasında çocuklarımız için doğru ekran tekil şahsın imkânlarını da kullanarak her yönüyle hâkim süresi hakkında tartışmalar sürerken eğitimin şeklini ve bir bakış sunar. Böylece okur, karakterlerin hayatlarına geleceğini değiştiren yapay zekâ; dünyanın önde gelen ve akıllarından geçirdiklerine tanıklık edebilmektedir. ülkelerinde oyunun kurallarını belirlemeye başladı bile. Bu parçada söz edilen anlatıcıylailgili aşağıdakilerin Konuyla ilgili raporlara baktığımızda yapay zekânın hangisi söylenebilir? eğitimdeki yerinin yakın gelecekte çok büyük oranlara ulaşacağı görülüyor.",Bazı sektörlerde insana bağımlılığı azaltacağına okura aktarır.,Eğitim alanında daha fazla gelişim gösterdiğine C)İç çatışmalara yer vererek karakterleri tüm boyutlarıyla ele alır. C)Çocukların gelişimi üzerinde olumsuz etkilerinin olduğuna D)Kişilerin bilinmeyen yönlerini ortaya çıkararak eseri başarıya ulaştırır. D)Eğitimde kullanımının öğrenci başarısına katkı sağladığına E) Karakterleri arka planda tutarak okurun olaya odaklanmasını hedefler.,,,Eğitimde alışılagelmiş anlayışlarda değişikliğe yol açtığına,,,TYT Türkçe,,Türkçe
"Doğa filozofları; görünüş ve gerçeklik arasında bir ayrım 25. Dilthey; tarihi yeni bir bakış açısıyla yorumlayarak yaparak görünüşün arkasındaki gerçekliğe, çokluğun insanın, sürekli değişen ve dinamik bir tarih olduğunu ardındaki birliğe ulaşmaya çalıştı. Onlar, tüm varlıkların öne sürer. Ona göre insanla ilgili her şey bir zaman arkasındaki bu birliğe “arkhe” adını vererek onun ne parçası içinde gerçekleşir ve bu değişken doğasıyla olduğunu sorguladı. Thales suyu, Anaximenes havayı, insan, kendi göreceliği ve tarihselliği içinde, yön Empedokles ise toprak, su, hava ve ateşten oluşan dört değiştiren bir rüzgârgülüne benzer. Nitekim insan, ana maddeyi evrenin arkhesi olarak belirledi. Platon ise yaşarken içinde bulunduğu zamanı kendisi kurar ve düşüncesinin merkezine doğaya ait unsurlar yerine anılar yoluyla şimdiki zamanını belirleyen geçmişi de “idealar” adı verilen ve asıl varlıklar olarak gördüğü hep yanında taşır. kavramsal nesneleri yerleştirerek felsefe tarihinde yeni Dilthey’ın bu parçadaki görüşlerinden aşağıdakilerin bir dönemi başlattı. hangisine ulaşılamaz? Buna göre Platon’u doğa filozoflarından ayıran",Birliğin değil çokluğun felsefesini yapması,"Evrenin göründüğü gibi olduğuna inanması oluşturur. C)Dünyayı duyu dünyasına ait olmayan unsurlarla C)Geçmiş, insanın şimdiki zamanının şekillenmesinde açıklaması etkilidir. D)Doğanın insan zihninin bir ürünü olduğunu düşünmesi D)Tarih, insanın hem var ettiği hem de ondan etkilendiği bir süreçtir.",,,"İnsan, zaman içinde olan bir varlık olduğu için tarihseldir.",,,TYT Türkçe,,Türkçe
"Bir tenis turnuvasına katılan 20 tenisçiden her biri turnuvaya katılan diğer tenisçilerle birer kez karşılaşmıştır. Toplam 19 hakemin görevlendirildiği bu turnuvada, her bir karşılaşma için 3 hakem görevlendirilmiştir. Bu turnuvada tüm hakemler eşit sayıda karşılaşmada görev aldığına göre bir hakemin görev aldığı karşılaşma sayısı kaçtır?",25 B) 27 C)30 D)32 E) 35 30 Diğer sayfaya geçiniz. 2024-TYT/TEM,,,,,,,TYT Türkçe,,Türkçe
"İzmir dokuma imalatı; XVI ve XVII. yüzyıllarda pamuk 27. Özgünlük genellikle insanın kendisi olmasını içeren bir ipliği, pamuklu dokuma, çarşaf, gömlek ve keten bezi durum olarak görülür. Peki, özgünlük değişimi engelliyor üretimiyle ön plana çıkmıştır. XIX. yüzyıla kadar bu ve herkesi yerinde saymaya teşvik ediyorsa... İşte bunu ürünlerin geleneksel tarzda üretimi yapılmıştır. Zamanla sorgulamamız gerekir. İnsan, bazen amaçlarına ulaşmak şehrin kalabalıklaşması ve ticaret hacminin artması, seri için bir süreliğine maske takmak zorunda kalabilir. üretimin yapıldığı fabrikalaşmaya doğru ilk adımların Benzer şekilde özgünlük de insanları olduğu gibi atılmasını da beraberinde getirmiştir. Pamuk fabrikasının kalmaya ve başka perspektiflerden fikirleri görmezden açılması, boyahane ve basmahanelerin kurulması bu gelmeye itebilir. Bu bakımdan insanın benliğine olduğu adımlardandır. Ayrıca XIX. yüzyıla ait haritalarda hâliyle sadık kalmasının, dönüşebileceği her şeyden Boyahane Deresi’nin etrafında kümelenmiş yapıların kendini soyutlamasıyla eş değer olduğu söylenebilir. yer alması, şehirdeki tekstil ürünü boyamacılığının dere Bu parçadan aşağıdakilerin hangisine ulaşılabilir? etrafında yaygın olduğunu gösteren önemli bir kanıttır. Boyahanelerde bitkisel boyalar üretilmiş; “alizarin” veya",Geleneksel üretim metotları şehirdeki ticaret hacmini C)Doğru olduğuna inandığı şeyi kendi isteğiyle yapan sınırlandırmıştır. birey başarılı olabilir.,"Şehir nüfusunun artmasıyla birlikte fabrikasyon üretime D)İnsanın istekleri doğrultusunda kişiliğinden ödün geçiş sağlanmıştır. vermesi onu tutarsızlaştırır. C)Dokuma kumaşlarının üretimi şehrin belli bir E) İnsanın özgün olma uğruna yaptıkları, onu değişime bölgesinde yoğunlaşmıştır. kapalı bir hâle getirebilir. D)Farklı kumaş türlerinin üretimi sırasında birden fazla teknik kullanılmıştır.",,,Oluşturduğu modelle farklı sektörlerin gelişmesine ilham kaynağı olmuştur. 8 Diğer sayfaya geçiniz. 2024-TYT/TÜR,,,TYT Türkçe,,Türkçe
